url,category_code,category_description,date_added,source,notes
http://adb.org,DEV,Development,2014-04-15,citizenlab,
http://anwaribrahimblog.com,POLR,Political reform,2014-04-15,citizenlab,
http://asiafriendfinder.com,DATE,Dating,2014-04-15,citizenlab,
http://bbs.buysell.net.my,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://bebasmedia.tripod.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bersih.org,POLR,Political reform,2014-04-15,citizenlab,
http://betasia.com,GMB,Gambling,2014-04-15,citizenlab,
http://blogsentral.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogsome.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bolehblogs.insatiably.net,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bravingkl.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://brimas.www1.50megs.com,ENV,Environment,2014-04-15,citizenlab,
http://centre.com.my,SRCH,Search engines,2014-04-15,citizenlab,
http://elizabethwong.wordpress.com,POLR,Political reform,2014-04-15,citizenlab,
http://en.rsf.org/article.php3?id_article=20789,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Status_of_religious_freedom_in_Malaysia,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://forum.lowyat.net,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://forum.lowyat.net/i,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://freedomhouse.org/template.cfm?page=140&edition=7&ccrpage=31&ccrcountry=134,HUMR,Human rights,2014-04-15,citizenlab,
http://gayguide.net,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://hindraf.com,MINF,Minority faiths,2014-04-15,citizenlab,
http://hotzone.yahoo.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://hrw.org/english/docs/2005/01/13/malays9822.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://ilga.org/ilga/en/organisations/ILGA%20ASIA,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://indianfriendfinder.com,DATE,Dating,2014-04-15,citizenlab,
http://jelas.info,POLR,Political reform,2014-04-15,citizenlab,
http://jihadwatch.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://mail.malaysia.com,EMAIL,Free email,2014-04-15,citizenlab,
