url,category_code,category_description,date_added,source,notes
https://nl.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://meta.wikimedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://tr.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://fa.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
http://www.elkspel.nl/,GAME,Gaming,2022-10-08,test-lists.ooni.org contribution,"web games collection, might be blocked on school networks"
http://www.spel.nl/,GAME,Gaming,2022-10-08,test-lists.ooni.org contribution,"web games collection, might be blocked on school networks"
http://poki.be/,GAME,Gaming,2022-10-08,test-lists.ooni.org contribution,"web games collection, might be blocked on school networks"
http://www.toto.nl/,GMB,Gambling,2022-10-08,test-lists.ooni.org contribution,
http://www.betcity.nl/,GMB,Gambling,2022-10-08,test-lists.ooni.org contribution,
http://www.jackscasino.nl/,GMB,Gambling,2022-10-08,test-lists.ooni.org contribution,
http://www.transgendernetwerk.nl/,LGBT,LGBT,2022-10-08,test-lists.ooni.org contribution,
http://iedereenisanders.nl/,LGBT,LGBT,2022-10-08,test-lists.ooni.org contribution,
http://nos.nl/,NEWS,News Media,2022-10-08,test-lists.ooni.org contribution,Dutch state-funded news outlet
http://rtlnieuws.nl/,NEWS,News Media,2022-10-08,test-lists.ooni.org contribution,Dutch commercial news outlet
http://ongehoordnederland.tv/,NEWS,News Media,2022-10-08,test-lists.ooni.org contribution,Dutch state-funded controversial news outlet
http://www.nrc.nl/,NEWS,News Media,2022-10-08,test-lists.ooni.org contribution,Dutch commercial news outlet
http://genderpraatjes.nl/,LGBT,LGBT,2022-10-08,test-lists.ooni.org contribution,
http://vrouwuitdekast.nl/,LGBT,LGBT,2022-10-08,test-lists.ooni.org contribution,
http://www.outway.nl/,LGBT,LGBT,2022-10-08,test-lists.ooni.org contribution,
http://fvd.nl/,POLR,Political Criticism,2022-10-08,test-lists.ooni.org contribution,Right-wing political party
http://groenlinks.nl/,POLR,Political Criticism,2022-10-08,test-lists.ooni.org contribution,Left-wing political party
http://piratenpartij.nl/,POLR,Political Criticism,2022-10-08,test-lists.ooni.org contribution,Left-wing political party (primarily for internet freedom)
http://www.dumpert.nl/,MMED,Media sharing,2022-10-08,test-lists.ooni.org contribution,Dutch video sharing website
