url,name,category_code,date_added,date_published,data_format_version,source,authority,notes
.cbmsport.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet.myblog.it,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betcalcio.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betcalcio1.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betcalcio2.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
betscommesse.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet-scommesse.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
calcio10.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
sport10it.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
sport110.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
allin.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
lottoflash.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
wonodds.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
grandcasino.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
grandcasinoit.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
grandcasino-it.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
grandcasino-italia.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
grandcasinos.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
casino.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
assocasino.fortunecity.ws,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
sportgewin.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
up.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
planetwin.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
sbpoker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
scommetti365.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
dslots.sesbetgaming.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
poker5.everleafgaming.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
kpweb.eu,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
jackpot.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
carte.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
.info,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
bet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
holdingsplc.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
poker.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
sports.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
.amzcas.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
a.solobonus.net,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
aams-casino.awardspace.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
abacus.winnerlucky.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
abed.winnerlucky.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
abetting.winnerlucky.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
abigail.winnerlucky.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
account.caesarcardclub.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
affiliates.goldbet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
agenzia.betfaktor.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
agpoker.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
akallin.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
akpokerclub.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
albdigitalpoker.eu,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
alicesport.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
allslotscasino-italia1.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
app.mgoldbet.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
apuestas3000.com,official/it/aams,GMB,,2015-04-05,0.1,AAMS,AAMS,
