url,category_code,category_description,date_added,source,notes
http://actualidaddelperu.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://alvaropampa.blogspot.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://apuntesperuanos.com,NEWS,News Media,2014-04-15,citizenlab,
http://blog.descargasgay.com,PORN,Pornography,2014-04-15,citizenlab,
http://blog.pucp.edu.pe,GOVT,Government,2014-04-15,citizenlab,
http://blog.pucp.edu.pe/item/17090,GOVT,Government,2014-04-15,citizenlab,
http://bloggeras.wordpress.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://caballeroredverde.blogspot.com,ENV,Environment,2014-04-15,citizenlab,
http://cristianamente.blogspot.com,REL,Religion,2014-04-15,citizenlab,
http://democraciamulticultural.blogspot.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://econopolitica.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://es.catholic.net,REL,Religion,2014-04-15,citizenlab,
http://goldmine.wordpress.com,ENV,Environment,2014-04-15,citizenlab,
http://huancavelica.zoomblog.com,NEWS,News Media,2014-04-15,citizenlab,
http://indigenista.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://ingenuopais.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://marconaprotesta.wordpress.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://mlajo.blogspot.com,GOVT,Government,2014-04-15,citizenlab,
http://peru.indymedia.org,NEWS,News Media,2014-04-15,citizenlab,
http://peruenrumba.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://quechuanetwork.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://syscgtp.cgtp.org.pe,POLR,Political Criticism,2014-04-15,citizenlab,
http://tlc-no.blogspot.com,GOVT,Government,2014-04-15,citizenlab,
http://tlc.ticoblogger.com,GOVT,Government,2014-04-15,citizenlab,
http://todosobrelaoroya.org,ENV,Environment,2014-04-15,citizenlab,
http://www.accionensida.org.pe,PUBH,Public Health,2014-04-15,citizenlab,
http://www.accionpopular.org.pe,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.achuarperu.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
