url,category_code,category_description,date_added,source,notes
http://2010presidentiables.wordpress.com/reproductive-health-bill-5043/sws-survey-overwhelming-support-for-rh-bill-5043/,XED,Sex Education,2014-04-15,citizenlab,
https://akbayan.org.ph,POLR,Political Criticism,2016-04-19,citizenlab,
http://alyansatigilmina.net,ENV,Environment,2016-04-19,citizenlab,
http://anakpawis.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://angtagalnaman.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://bangsa.wordpress.com,REL,Religion,2014-04-15,citizenlab,
http://blacknwhitemovement.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://blog.wyzemoro.com,REL,Religion,2014-04-15,citizenlab,
http://blogwatch.ph,NEWS,News Media,2016-04-19,citizenlab,
http://clearblogs.com,ENV,Environment,2014-04-15,citizenlab,
http://clearblogs.com/sam,ENV,Environment,2014-04-15,citizenlab,
http://cmfr-phil.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://codengo.org,ECON,Economics,2014-04-15,citizenlab,
http://empressmaruja.wordpress.com,LGBT,LGBT,2014-04-15,citizenlab,
http://filipinofriendfinder.com,DATE,Online Dating,2014-04-15,citizenlab,
http://gibo.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://goodbyegloria.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://greenphils.com,ENV,Environment,2014-04-15,citizenlab,
http://groups.google.com/group/soc.culture.filipino/topics?lnk=sg,GRP,Social Networking,2014-04-15,citizenlab,
http://groups.yahoo.com/group/Patriots_of_the_Philippines/,GRP,Social Networking,2014-04-15,citizenlab,
http://groups.yahoo.com/group/ProgressiveTimes/,GRP,Social Networking,2014-04-15,citizenlab,
http://groups.yahoo.com/group/angladlad/,LGBT,LGBT,2014-04-15,citizenlab,
http://home.casema.nl,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://home.casema.nl/ndf/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://hronlineph.com,HUMR,Human Rights Issues,2016-04-19,citizenlab,
http://hrw.org,NEWS,News Media,2014-04-15,citizenlab,
http://hrw.org/doc?t=asia&c=philip,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://hrw.org/reports/2007/philippines0607/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://indayvarona.com,NEWS,News Media,2016-04-19,citizenlab,
http://inquirer.net,NEWS,News Media,2014-04-15,citizenlab,
http://jlozada.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://kilosbayan.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://magdaloparasapagbabago.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://mbaceron.agalaw.net,NEWS,News Media,2014-04-15,citizenlab,
http://mindanao.com,NEWS,News Media,2014-04-15,citizenlab,
http://mnlf.net,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://myerap.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://news.bbc.co.uk/2/hi/asia-pacific/1695576.stm,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://noynoyaquino.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://npcparty.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://onevoice.org.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://philippinecollegian.net,NEWS,News Media,2014-04-15,citizenlab,
http://philippinecommentary.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://philippinesfreepress.wordpress.com,NEWS,News Media,2014-04-15,citizenlab,
http://pinoyhr.net,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://pinoyscandalo.com,PORN,Pornography,2014-04-15,citizenlab,
https://raissarobles.com,NEWS,News Media,2016-04-19,citizenlab,
http://rgcruz.com,NEWS,News Media,2014-04-15,citizenlab,
http://stopthekillings.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://tan.org.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://thepoc.net,NEWS,News Media,2016-04-19,citizenlab,
http://tonyocruz.com,NEWS,News Media,2014-04-15,citizenlab,
http://verafiles.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://web.amnesty.org,NEWS,News Media,2014-04-15,citizenlab,
http://web.amnesty.org/library/eng-phl/reports,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://wiki.answers.com/Q/What_is_the_Reproductive_Health_Bill_in_the_Philippines,XED,Sex Education,2014-04-15,citizenlab,
http://www.abante.com.ph,NEWS,News Media,2014-04-15,citizenlab,
http://www.abs-cbnnews.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.akbayan.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.angkapatiran.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.angladlad.org,LGBT,LGBT,2014-04-15,citizenlab,
http://www.arkibongbayan.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.asiamedia.ucla.edu,NEWS,News Media,2014-04-15,citizenlab,
http://www.asiamedia.ucla.edu/article.asp?parentid=22739,NEWS,News Media,2014-04-15,citizenlab,
http://www.bangsamoro.com,CULTR,Culture,2014-04-15,citizenlab,
http://www.bangsamoro.info,CULTR,Culture,2014-04-15,citizenlab,
http://www.blacknwhite-movement.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.bpotruestories.com/,HUMR,Human Rights Issues,2016-04-19,citizenlab,
http://www.bulatlat.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.cebuanas.com,DATE,Online Dating,2014-04-15,citizenlab,
http://www.cfr.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.cfr.org/publication/9235/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.cmfr-phil.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.congress.gov.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.cpj.org/attacks05/pages05/intro05.html,NEWS,News Media,2014-04-15,citizenlab,
http://www.crisisgroup.org/home/index.cfm?id=2861,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.dakila.org.ph,NEWS,News Media,2016-04-19,citizenlab,
http://www.defendsison.be,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.dfa.gov.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.dnd.gov.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.ellentordesillas.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.erap.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.facebook.com/giboteodoro?_fb_noscript=1,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.fdc.ph,ECON,Economics,2016-04-19,citizenlab,
http://www.filipinaheart.com,DATE,Online Dating,2014-04-15,citizenlab,
http://www.filipinaporn.org,PORN,Pornography,2014-04-15,citizenlab,
http://www.filipinasexlinks.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.filipinofreethinkers.org,NEWS,News Media,2016-04-19,citizenlab,
http://www.filipinosex.org,PORN,Pornography,2014-04-15,citizenlab,
http://www.fireflybrigade.org,ENV,Environment,2014-04-15,citizenlab,
http://www.fma.ph/,NEWS,News Media,2016-04-19,citizenlab,
http://www.freewebs.com,LGBT,LGBT,2014-04-15,citizenlab,
http://www.freewebs.com/mccpilipinas/,LGBT,LGBT,2014-04-15,citizenlab,
http://www.geocities.com/HotSprings/Spa/3115/,XED,Sex Education,2014-04-15,citizenlab,
http://www.geocities.com/angladlad/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.globalvoicesonline.org/-/world/east-asia/philippines/,NEWS,News Media,2014-04-15,citizenlab,
http://www.gmanews.tv,NEWS,News Media,2014-04-15,citizenlab,
http://www.haribon.org.ph,ENV,Environment,2014-04-15,citizenlab,
http://www.humantrafficking.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.humantrafficking.org/countries/philippines,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.ibon.org,POLR,Political Criticism,2016-04-19,citizenlab,
http://www.joey3live.com/?tag=zte-nbn-scandal,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.josemariasison.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.liberalparty.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.loveme.com,DATE,Online Dating,2014-04-15,citizenlab,
http://www.loveme.com/women/philippines/,DATE,Online Dating,2014-04-15,citizenlab,
http://www.luisteodoro.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.luwaran.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.makabayan.net,POLR,Political Criticism,2016-04-19,citizenlab,
http://www.malaya.com.ph,NEWS,News Media,2014-04-15,citizenlab,
http://www.mannyvillar.com.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.mannyvillar.net,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.maranao.com,CULTR,Culture,2014-04-15,citizenlab,
http://www.mindanews.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.missbikiniphilippines.org,PROV,Provocative Attire,2014-04-15,citizenlab,
http://www.moroland.net,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.nacionalistaparty.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.nenepimentel.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.neo-angono.com,CULTR,Culture,2014-04-15,citizenlab,
http://www.newsbreak.com.ph,NEWS,News Media,2014-04-15,citizenlab,
http://www.newsstand.blogs.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.nujp.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.op.gov.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.pcij.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.petitiononline.com/no2gma/petition.html,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.philippinehumanrights.org,HUMR,Human Rights Issues,2016-04-19,citizenlab,
http://www.philippineporn.org,PORN,Pornography,2014-04-15,citizenlab,
http://www.philippinerevolution.net,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.philonline.com.ph,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.philstar.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.pifa.ph/,NEWS,News Media,2016-04-19,citizenlab,
http://www.pilipino.org.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.pinglacson.com.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.pinglacson.net/home,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.pinoybigbriber.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.pinoyblog.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.pinoyexchange.com,GRP,Social Networking,2014-04-15,citizenlab,
http://www.pinoygambler.com,GMB,Gambling,2014-04-15,citizenlab,
http://www.pinoypress.net,NEWS,News Media,2014-04-15,citizenlab,
http://www.prolife.org.ph,PUBH,Public Health,2014-04-15,citizenlab,
http://www.quezon.ph,NEWS,News Media,2014-04-15,citizenlab,
http://www.quezon.ph/2009/08/12/le-circus-freak/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.radikalchick.com,NEWS,News Media,2016-04-19,citizenlab,
http://www.rappler.com,NEWS,News Media,2016-04-19,citizenlab,
http://www.remedios.com.ph,PUBH,Public Health,2014-04-15,citizenlab,
http://www.reuters.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.reuters.com/article/latestCrisis/idUSSP36012,NEWS,News Media,2014-04-15,citizenlab,
http://www.rickycarandang.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.searchforvideo.com,MMED,Media sharing,2014-04-15,citizenlab,
http://www.searchforvideo.com/countries/philippines/,MMED,Media sharing,2014-04-15,citizenlab,
http://www.senate.gov.ph,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.senjinggoyestrada.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.sundalo.bravehost.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.sunstar.com.ph,NEWS,News Media,2014-04-15,citizenlab,
http://www.tfdp.net,HUMR,Human Rights Issues,2016-04-19,citizenlab,
http://www.time.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.time.com/time/asia/covers/501030804/,NEWS,News Media,2014-04-15,citizenlab,
http://www.tinig.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.tmchronicles.com,REL,Religion,2014-04-15,citizenlab,
http://www.trafficking.org.ph,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.tribune.net.ph,NEWS,News Media,2014-04-15,citizenlab,
http://www.tribuneonline.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.txtpower.org,GRP,Social Networking,2014-04-15,citizenlab,
http://www.undp.org.ph,ECON,Economics,2014-04-15,citizenlab,
http://www.unicef.org/philippines/children/index.html,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.uri.edu,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.uri.edu/artsci/wms/hughes/philippi.htm,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.youtube.com/watch?v=4q0JKzpjh_o,POLR,Political Criticism,2014-04-15,citizenlab,
http://www2.hu-berlin.de,XED,Sex Education,2014-04-15,citizenlab,
http://www2.hu-berlin.de/sexology/IES/philippines.html,XED,Sex Education,2014-04-15,citizenlab,
http://youtube.com,NEWS,News Media,2014-04-15,citizenlab,
http://youtube.com/AlJazeeraEnglish,MMED,Media sharing,2014-04-15,citizenlab,
http://youtube.com/zamboangajournal,MMED,Media sharing,2014-04-15,citizenlab,
http://zamboangajournal.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://zumel.com,NEWS,News Media,2014-04-15,citizenlab,
