url,category_code,category_description,date_added,source,notes
https://discomaulvi.wordpress.com/,CULTR,Culture,2014-04-15,citizenlab,
http://www.Vtunnel.info/,CULTR,Culture,2014-04-15,citizenlab,
http://www.hinduhumanrights.org/,CULTR,Culture,2014-04-15,citizenlab,
http://www.pmln.org.pk/,CULTR,Culture,2014-04-15,citizenlab,
http://www.unlock5.com/,CULTR,Culture,2014-04-15,citizenlab,
http://www.kalpoint.com/,ECON,Economics,2014-04-15,citizenlab,
http://www.pakistaneconomist.com/,ECON,Economics,2014-04-15,citizenlab,
https://www.myleadsystempro.com/,ECON,Economics,2014-04-15,citizenlab,
http://www.bharat-rakshak.com/,GOVT,Government,2014-04-15,citizenlab,
http://www.pppindia.com/,HACK,Hacking Tools,2014-04-15,citizenlab,
https://drawmohammedweek.blogspot.com/,HATE,Hate Speech,2014-04-15,citizenlab,
http://www.bibleprobe.com/muhammad-cartoons.htm,HATE,Hate Speech,2014-04-15,citizenlab,
http://www.zombietime.com/mohammed_image_archive/,HATE,Hate Speech,2014-04-15,citizenlab,
http://www.worldsindhicongress.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.sanalist.org/,MMED,Media sharing,2014-04-15,citizenlab,
http://www.balochunitedfront.org/,NEWS,News Media,2014-04-15,citizenlab,
http://www.hinduonnet.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.ipsnews.net/,NEWS,News Media,2014-04-15,citizenlab,
https://www.thenewhumanitarian.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.anonproxy.info/,PORN,Pornography,2014-04-15,citizenlab,
http://www.ayubmed.edu.pk/,PUBH,Public Health,2014-04-15,citizenlab,
http://www.zrombesh.org/,PUBH,Public Health,2014-04-15,citizenlab,
http://danishcartoons.ytmnd.com/,REL,Religion,2014-04-15,citizenlab,
http://www.askislam.org/,REL,Religion,2014-04-15,citizenlab,
http://www.tanzeem.org/,REL,Religion,2014-04-15,citizenlab,
http://www.pakquake.com/,CULTR,Culture,2014-04-15,citizenlab,
https://brobible.com/,CULTR,Culture,2014-04-15,citizenlab,
http://koausa.org/index.html,GOVT,Government,2014-04-15,citizenlab,
https://www.rferl.org/a/1069023.html,NEWS,News Media,2014-04-15,citizenlab,article on PK and neo-taliban dilemma
http://anonymizer.nntime.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan
http://anonymouse.ws/anonwww.html,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan according to OONI
http://www.24Proxy.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.24TopProxy.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.24Traffic.info/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.ProxyBoost.net/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.ProxyButton.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.SneakzorZ.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.Vtunnel.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan
http://www.WizProxy.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.browser-x.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan
http://www.freeproxy.ca/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan
http://www.hujiko.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.kproxy.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan
http://www.kproxy.com./,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan
http://www.mywebtunnel.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Website blocked in Pakistan
http://www.proxify.co.uk/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan
http://www.proxify.de/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Blocked in Pakistan
http://www.jammu-kashmir.com/,CULTR,Culture,2014-04-15,citizenlab,
http://www.youtube.com/watch?v=nycuLpw0VV8&feature=related,HATE,Hate Speech,2014-04-15,citizenlab,
http://www.youtube.com/watch?v=rPOWhYp5MTw&feature=related,HATE,Hate Speech,2014-04-15,citizenlab,
http://www.BalochVoice.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Blocked in Pakistan
http://balochwarna.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Blocked in Pakistan
http://governmentofbalochistan.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Not updated since 2006; Blocked in 2014
http://lalmasjid.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Blocked in Pakistan
http://www.BalochFront.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Blocked in Pakistan
http://www.balochpeople.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.bso-na.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Blocked in Pakistan
http://www.eurobaluchi.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Blocked in Pakistan
http://www.faithfreedom.org/,REL,Religion,2014-04-15,citizenlab,Blocked in Pakistan
http://www.faithfreedom.org/Gallery/28.htm,HUMR,Human Rights Issues,2014-04-15,citizenlab,Blocked in Pakistan
http://www.gwkhan.20m.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.hazara.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Blocked in Pakistan
http://www.hrcp-web.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.khyber.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,can be blocked
