url,category_code,category_description,date_added,source,notes
http://2ch.hk/,PORN,Pornography,2014-04-15,citizenlab,
http://3a-pycb.livejournal.com/,CULTR,Culture,2014-04-15,citizenlab,
http://6ott-mit-uns.livejournal.com/,CULTR,Culture,2014-04-15,citizenlab,
http://abclider.com/,PORN,Pornography,2014-04-15,citizenlab,
http://adengo.ru/,NEWS,News Media,2014-04-15,citizenlab,
http://alstrangers.livejournal.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://amnesty.org.ru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://ansardin.wordpress.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://arxiv.ruckp.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://azartplay.com/,GMB,Gambling,2014-04-15,citizenlab,
http://azatlyk-vatan.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://bestmaza.biz/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://betway.com/,GMB,Gambling,2014-04-15,citizenlab,
http://blanki.net.ua/,COMM,E-commerce,2014-04-15,citizenlab,
http://blogsochi.ru/,NEWS,News Media,2014-04-15,citizenlab,
http://borgie.net/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://cannabisnature.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://childrenscinema.com/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://circassianculturalinstitute.org/circassians-protest-selection-sochi-2014-winter-olympics-venue-2/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://comingoutspb.com/,LGBT,LGBT,2014-04-15,citizenlab,
http://cones.tv/,COMM,E-commerce,2014-04-15,citizenlab,
http://czeczenia-rus.blog.onet.pl/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://datmob.net/,PROV,Provocative Attire,2014-04-15,citizenlab,
http://diplomaticsecondpassport.com/,COMM,E-commerce,2014-04-15,citizenlab,
http://drugoi.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,
http://drugspowerstore.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://echo.msk.ru/,NEWS,News Media,2014-04-15,citizenlab,
http://fast-die.kiev.ua/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://fei.ru/,PORN,Pornography,2014-04-15,citizenlab,
http://fisadilillahi.com/,HATE,Hate Speech,2014-04-15,citizenlab,
http://flash.va-bank.com/,GMB,Gambling,2014-04-15,citizenlab,
http://flibusta.is/,MMED,Media sharing,2016-11-11,citizenlab,
http://flibusta.net/,MMED,Media sharing,2014-04-15,citizenlab,
http://freedomhouse.org/russia-eve-sochi,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://freepussyriot.org/,NEWS,News Media,2014-04-15,citizenlab,
http://gayzona.com/,LGBT,LGBT,2014-04-15,citizenlab,
http://genderandaids.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://go-krit.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://go-krit.com/workshop,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://growclub.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://growerz.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://haamash.wordpress.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://hoteljans.nl/,COMM,E-commerce,2014-04-15,citizenlab,
http://humanrights-ru.livejournal.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://imrussia.org/en,HUMR,Human Rights Issues,2017-12-16,oonitarian,foreign agent law
http://ingushetiyaru.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://inosmi.ru/,NEWS,News Media,2014-04-15,citizenlab,
http://ipvnews.org/,NEWS,News Media,2014-04-15,citizenlab,
https://jahforum.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://jamagat.wordpress.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://justinkripps.ca/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://kavkaz.org.uk/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://kavkaz.tv/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://kavkazcenter.info/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://kavkaznews.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://khodorkovsky.ru/,POLR,Political Criticism,2017-12-16,oonitarian,foreign agent law
