url,category_code,category_description,date_added,source,notes
http://www.bbc.com/gahuza/,NEWS,News Media,2017-07-19,BBC,
http://www.bbc.com/greatlakes,NEWS,News Media,2017-07-19,BBC,
http://www.inyenyerinews.org/,POLR,Political Criticism,2018-09-24,Community member,
https://www.inyenyerinews.org/,POLR,Political Criticism,2018-09-24,Community member,
http://www.therwandan.com/,NEWS,News Media,2018-09-24,Community member,
http://leprophete.fr/,POLR,Political Criticism,2018-09-24,Community member,
https://umuseke.rw/,NEWS,News Media,2018-09-24,Community member,
https://umuvugizi.wordpress.com/,POLR,Political Criticism,2018-09-24,Community member,
http://www.umusingi.org/,NEWS,News Media,2018-09-24,Community member,
http://www.newsofrwanda.com/,NEWS,News Media,2018-09-24,OONI,
https://www.newtimes.co.rw/,NEWS,News Media,2018-09-24,OONI,
https://allafrica.com/rwanda/,NEWS,News Media,2018-09-24,OONI,
https://igihe.com/,NEWS,News Media,2018-09-24,OONI,
http://inyarwanda.com/,NEWS,News Media,2018-09-24,OONI,
https://www.kigalitoday.com/,NEWS,News Media,2018-09-24,OONI,
http://umurimo.com/,NEWS,News Media,2018-09-24,OONI,
https://www.hrw.org/africa/rwanda,HUMR,Human Rights Issues,2018-09-24,OONI,
https://www.amnesty.org/en/countries/africa/rwanda/report-rwanda/,HUMR,Human Rights Issues,2018-09-24,OONI,
http://www.rw.one.un.org/,HUMR,Human Rights Issues,2018-09-24,OONI,
http://www.rightsrwanda.com/,HUMR,Human Rights Issues,2018-09-24,OONI,
http://rwandansrights.org/,HUMR,Human Rights Issues,2018-09-24,OONI,
http://rwandarwabanyarwanda.over-blog.com/,POLR,Political Criticism,2018-09-24,OONI,
https://newsrwanda-nkunda.blogspot.com/,POLR,Political Criticism,2018-09-24,OONI,
https://democracywatch-rwanda2010.blogspot.com/,POLR,Political Criticism,2018-09-24,OONI,
http://www.kanyarwanda.net/,NEWS,News Media,2018-09-24,OONI,
