n,address,nickname,v3_ident,fingerprint,or_port,dir_port,bridge,date_added,date_published,data_format_version,source,notes
tor/dir_auths,128.31.0.39,moria1,D586D18309DED4CD6D57C18FDB97EFA96D330566,9695DFC35FFEB861329B9F1AB04C46397020CE31,9101,9131,False,2015-04-25,2015-04-25,0.1,The Tor Project,
tor/dir_auths,86.59.21.38,tor26,14C131DFC5C6F93646BE72FA1401C02A8DF2E8B4,847B1F850344D7876491A54892F904934E4EB85D,443,80,False,2015-04-25,2015-04-25,0.1,The Tor Project,
tor/dir_auths,194.109.206.212,dizum,E8A9C45EDE6D711294FADF8E7951F4DE6CA56B58,7EA6EAD6FD83083C538F44038BBFA077587DD755,443,80,False,2015-04-25,2015-04-25,0.1,The Tor Project,
tor/dir_auths,82.94.251.203,Tonga,,4A0CCD2DDC7995083D73F5D667100C8A5831F16D,443,80,True,2015-04-25,2015-04-25,0.1,The Tor Project,
tor/dir_auths,131.188.40.189,gabelmoo,ED03BB616EB2F60BEC80151114BB25CEF515B226,F2044413DAC2E02E3D6BCF4735A19BCA1DE97281,443,80,False,2015-04-25,2015-04-25,0.1,The Tor Project,
tor/dir_auths,193.23.244.244,dannenberg,585769C78764D58426B8B52B6651A5A71137189A,7BE683E65D48141321C5ED92F075C55364AC7123,443,80,False,2015-04-25,2015-04-25,0.1,The Tor Project,
tor/dir_auths,208.83.223.34,urras,80550987E1D626E3EBA5E5E75A458DE0626D088C,0AD3FA884D18F89EEA2D89C019379E0E7FD94417,80,443,False,2015-04-25,2015-04-25,0.1,The Tor Project,
tor/dir_auths,171.25.193.9,maatuska,49015F787433103580E3B66A1707A00E60F2D15B,BD6A829255CB08E66FBE7D3748363586E46B3810,80,443,False,2015-04-25,2015-04-25,0.1,The Tor Project,
tor/dir_auths,154.35.175.225,Faravahar,EFCBE720AB3A82B99F9E953CD5BF50F7EEFC7B97,CF6D0AAFB385BE71B8E111FC5CFF4B47923733BC,443,80,False,2015-04-25,2015-04-25,0.1,The Tor Project,
tor/dir_auths,199.254.238.52,longclaw,23D15D965BC35114467363C165C4F724B64B4F66,74A910646BCEEFBCD2E874FC1DC997430F968145,443,80,False,2015-04-25,2015-04-25,0.1,The Tor Project,
