url,category_code,category_description,date_added,source,notes
https://www.thecabinsingapore.com.sg/,ALDR,Alcohol & Drugs,2021-07-09,Netalitica,substance recovery centre
https://alcohaul.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://www.alcoholdelivery.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://theboozyhub.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://cellarbration.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://www.paneco.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://www.theliquorshop.com.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://www.primeliquor.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://winedelivery.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://www.winesnspirits.sg/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://www.relxsg.com/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
https://sgvape9.com/,ALDR,Alcohol & Drugs,2021-07-16,Netalitica,
http://www.the-cloak.com/anonymous-surfing-home.html,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
https://vpnsingapore.co/,ANON,Anonymization and circumvention tools,2021-07-16,Netalitica,
https://www.privacy.com.sg/,ANON,Anonymization and circumvention tools,2021-07-16,Netalitica,
https://shopee.sg/,COMM,E-commerce,2021-06-26,Netalitica,
https://www.lazada.sg/,COMM,E-commerce,2021-06-26,Netalitica,
https://www.qoo10.sg/,COMM,E-commerce,2021-06-26,Netalitica,
https://www.carousell.sg/,COMM,E-commerce,2021-06-26,Netalitica,
https://grab.com/,COMM,E-commerce,2021-06-26,Netalitica,
https://www.gojek.com/,COMM,E-commerce,2021-06-26,Netalitica,
https://www.alibaba.com/,COMM,E-commerce,2021-07-09,Netalitica,
https://sg.shein.com/,COMM,E-commerce,2021-07-09,Netalitica,
https://www.zalora.sg/,COMM,E-commerce,2021-07-09,Netalitica,
https://www.shopify.com.sg/,COMM,E-commerce,2021-07-09,Netalitica,
https://www.ebay.com.sg/,COMM,E-commerce,2021-07-09,Netalitica,
https://www.fairprice.com.sg/,COMM,E-commerce,2021-07-09,Netalitica,
