url,category_code,category_description,date_added,source,notes
https://sl.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://hr.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://sr.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://sl.wikisource.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://partis.si/,MMED,Media sharing,2023-05-14,test-lists.ooni.org contribution,P2P site
https://www.mladina.si/,NEWS,News Media,2023-05-14,test-lists.ooni.org contribution,
https://mikstone.si/,POLR,Political Criticism,2023-05-14,test-lists.ooni.org contribution,
https://cezvesoljskacerkev.weebly.com/,REL,Religion,2023-05-14,test-lists.ooni.org contribution,Registered religion
https://www.24ur.com/,NEWS,News Media,2023-05-14,test-lists.ooni.org contribution,Largest commercial TV
https://www.rtvslo.si/,NEWS,News Media,2023-05-14,test-lists.ooni.org contribution,National TV
https://www.had.si/,POLR,Political Criticism,2023-05-14,test-lists.ooni.org contribution,
https://prava.si/,POLR,Political Criticism,2023-05-14,test-lists.ooni.org contribution,
https://erar.si/,GOVT,Government,2023-05-14,test-lists.ooni.org contribution,Public spending transparency
https://www.delo.si/,NEWS,News Media,2023-05-14,test-lists.ooni.org contribution,
https://vecer.com/,NEWS,News Media,2023-05-14,test-lists.ooni.org contribution,
https://nova24tv.si/,POLR,Political Criticism,2023-05-14,test-lists.ooni.org contribution,
https://legebitra.si/,LGBT,LGBT,2023-05-14,test-lists.ooni.org contribution,
http://ljubljanapride.org/,LGBT,LGBT,2023-05-14,test-lists.ooni.org contribution,
