url,category_code,category_description,date_added,source,notes
http://awoko.org/,NEWS,News Media,2017-11-30,OONI community,
http://slconcordtimes.com/,NEWS,News Media,2017-11-30,OONI community,
http://standardtimespress.org/,NEWS,News Media,2017-11-30,OONI community,
http://www.globaltimes-sl.com/,NEWS,News Media,2017-11-30,OONI community,
http://www.news.sl/,NEWS,News Media,2017-11-30,OONI community,
http://www.apctimes.com/,NEWS,News Media,2017-11-30,OONI,
http://cocorioko.net/,NEWS,News Media,2017-11-30,OONI,
http://allafrica.com/sierraleone/,NEWS,News Media,2017-11-30,OONI,
http://canvassnews.com/,NEWS,News Media,2017-11-30,OONI,
http://www.cottontreenews.org/,NEWS,News Media,2017-11-30,OONI,
http://www.expotimesonline.net/%20,NEWS,News Media,2017-11-30,OONI,
http://www.irinnews.org/Africa-Country.aspx?Country=SL,NEWS,News Media,2017-11-30,OONI,
http://www.mjournalsl.org/,NEWS,News Media,2017-11-30,OONI,
http://www.newctzen.com/,NEWS,News Media,2017-11-30,OONI,
http://thenewrisingsun.net/,NEWS,News Media,2017-11-30,OONI,
http://www.palmtreereports.com/index.php?lang=en,NEWS,News Media,2017-11-30,OONI,
http://www.thepatrioticvanguard.com/,NEWS,News Media,2017-11-30,OONI,
http://www.peepsierraleone.com/,NEWS,News Media,2017-11-30,OONI,Independent satirical newspaper
http://salonepost.com/,NEWS,News Media,2017-11-30,OONI,
http://www.sierraexpressmedia.com/,NEWS,News Media,2017-11-30,OONI,
http://www.sierraherald.com/,NEWS,News Media,2017-11-30,OONI,Newspaper focusing on human rights and political issues
http://www.sierraleonedailymail.com/,NEWS,News Media,2017-11-30,OONI,Government-owned newspaper
http://www.thesierraleonetelegraph.com/,NEWS,News Media,2017-11-30,OONI,"Covering social, political, and environmental issues"
http://www.sierraleonetimes.com/,NEWS,News Media,2017-11-30,OONI,
http://www.sierraleoneview.net/,NEWS,News Media,2017-11-30,OONI,
http://sierraleone365.com/,NEWS,News Media,2017-11-30,OONI,
http://www.thisissierraleone.com/,NEWS,News Media,2017-11-30,OONI,
http://www.voice-of-binkongoh.info/,NEWS,News Media,2017-11-30,OONI,
https://www.amnesty.org/en/countries/africa/sierra-leone/report-sierra-leone/,HUMR,Human Rights Issues,2017-11-30,OONI,
https://www.hrw.org/africa/sierra-leone,HUMR,Human Rights Issues,2017-11-30,OONI,
https://www.state.gov/documents/organization/265510.pdf,HUMR,Human Rights Issues,2017-11-30,OONI,
http://www.hrcsl.org/,HUMR,Human Rights Issues,2017-11-30,OONI,
http://www.ohchr.org/EN/Countries/AfricaRegion/Pages/SLIndex.aspx,HUMR,Human Rights Issues,2017-11-30,OONI,
