url,category_code,category_description,date_added,source,notes
https://es.wikisource.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://es.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://es.wikibooks.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://es.wikiversity.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://sputniknews.lat/,NEWS,News Media,2023-04-24,test-lists.ooni.org contribution,
https://vozpublica.net/,NEWS,News Media,2024-08-05,OONI,
https://elfaro.net/,NEWS,News Media,2025-02-04,OONI,
https://rsf.org/es/pais/el-salvador/,POLR,Political Criticism,2025-02-04,OONI,
https://apes.org.sv/,NEWS,News Media,2025-02-04,OONI,
https://cpj.org/es/POLR,Political Criticism,2025-02-04,OONI,
https://agenciapresentes.org/,LGBT,LGBT,2025-02-04,OONI,
