url,category_code,category_description,date_added,source,notes
https://www.tarjem.com/,COMT,Communication Tools,2014-04-15,citizenlab,
https://www.syriadating.com/,DATE,Online Dating,2014-04-15,citizenlab,
https://www.tayyar.org/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.syria-report.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.the-good-way.com/,REL,Religion,2014-04-15,citizenlab,
https://www.thegrace.com/,REL,Religion,2014-04-15,citizenlab,
https://gayguide.net/,LGBT,LGBT,2014-04-15,citizenlab,
https://gayguide.net/Middle_East/Syria/,LGBT,LGBT,2014-04-15,citizenlab,
https://gayswithoutborders.wordpress.com/,LGBT,LGBT,2014-04-15,citizenlab,
https://answering-islam.org/arabic.html,REL,Religion,2014-04-15,citizenlab,
https://www.amnestyusa.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://al-bab.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.albawaba.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.albawaba.com/ar/Syria,NEWS,News Media,2014-04-15,citizenlab,
https://www.aljadid.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.alquds.co.uk/,NEWS,News Media,2014-04-15,citizenlab,
https://www.annahar.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.alnour.com/,REL,Religion,2014-04-15,citizenlab,
https://www.arabicbible.com/,REL,Religion,2014-04-15,citizenlab,
https://www.ead.ae/,ENV,Environment,2014-04-15,citizenlab,
https://crackshome.com/,FILE,File-sharing,2014-04-15,citizenlab,
https://www.g9g.com/,GAME,Gaming,2014-04-15,citizenlab,
https://www.is-sw.net/,HACK,Hacking Tools,2014-04-15,citizenlab,
https://www.equalitynow.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://www.hri.ca/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://www.globalgayz.com/,LGBT,LGBT,2014-04-15,citizenlab,
https://www.azzaman.com/,NEWS,News Media,2014-04-15,citizenlab,
https://elaph.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.joshualandis.com/blog/,NEWS,News Media,2014-04-15,citizenlab,
https://ikhwansyria.com/,POLR,Political Criticism,2014-04-15,citizenlab,
https://irshadmanji.com/,REL,Religion,2014-04-15,citizenlab,
https://www.jesusfilm.org/,REL,Religion,2014-04-15,citizenlab,
https://www.eyoon.com/,SRCH,Search Engines,2014-04-15,citizenlab,
https://www.proxify.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
https://www.lavaplace.com/Personals/Syrian-Arab-Republic/SY/,DATE,Online Dating,2014-04-15,citizenlab,
https://www.metrodate.com/,DATE,Online Dating,2014-04-15,citizenlab,
https://www.metrodate.com/cairo/,DATE,Online Dating,2014-04-15,citizenlab,
https://www.metrodate.com/sy/,DATE,Online Dating,2014-04-15,citizenlab,
https://www.nikahsearch.com/,DATE,Online Dating,2014-04-15,citizenlab,
https://www.shrc.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://middle-east-online.com/,NEWS,News Media,2014-04-15,citizenlab,
https://middle-east-online.com/syria,NEWS,News Media,2014-04-15,citizenlab,
https://www.radiosawa.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.sana.sy/,NEWS,News Media,2014-04-15,citizenlab,
https://sat7.org/,REL,Religion,2014-04-15,citizenlab,
https://www.raddadi.com/,SRCH,Search Engines,2014-04-15,citizenlab,
https://www.globalgayz.com/middle-east/syria/,ENV,Environment,2014-04-15,citizenlab,tourism site
https://en.unesco.org/,IGO,Intergovernmental Organizations,2014-04-15,citizenlab,
https://news.vip4soft.com/,FILE,File-sharing,2014-04-15,citizenlab,
https://syria.news/,NEWS,News Media,2014-04-15,citizenlab,
http://www.welateme.net/erebi/,NEWS,News Media,2014-04-15,citizenlab,
https://anon.inf.tu-dresden.de/develop/anondroidvpn.html,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
https://blog.jeeran.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://arabic.peopledaily.com.cn/,NEWS,News Media,2014-04-15,citizenlab,News about china
http://burhanghalioun.net/,POLR,Political Criticism,2014-04-15,citizenlab,
http://amplusnet.com/invisible-browsing/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://adabislami.org/index.php,CULTR,Culture,2014-04-15,citizenlab,
https://memory.loc.gov/ammem/browse/updatedList.html,GOVT,Government,2014-04-15,citizenlab,
https://ku.wikipedia.org/wiki/Destp%C3%AAk,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://fiacat.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://www.afp.com/ar/,NEWS,News Media,2014-04-15,citizenlab,
https://www.alalamtv.net/,NEWS,News Media,2014-04-15,citizenlab,
http://ixiria.alsafahat.net/,NEWS,News Media,2014-04-15,citizenlab,
https://login.aol.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://arabatheistbroadcasting.com/,REL,Religion,2014-04-15,citizenlab,
http://www.power-2-change.com/,REL,Religion,2014-04-15,citizenlab,
http://www.icarda.org/,ENV,Environment,2014-04-15,citizenlab,
http://www.programscomputers.com/,FILE,File-sharing,2014-04-15,citizenlab,
http://www.casinoduliban.com.lb/,GMB,Gambling,2014-04-15,citizenlab,
https://www.childsrights.org/en/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://home.crin.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://euromedrights.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.kdp.info/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://aawsat.com/,NEWS,News Media,2014-04-15,citizenlab,
https://arabic.cnn.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.dctcrs.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.ettihad-sy.com/,POLR,Political Criticism,2014-04-15,citizenlab,
https://docs.s9y.org/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://consumeraffairs.org.uk/index.php,HUMR,Human Rights Issues,2014-04-15,citizenlab,
