url,category_code,category_description,date_added,source,notes
http://ambenatna.over-blog.com,NEWS,News Media,2014-04-15,citizenlab,
https://chad.team.org/,REL,Religion,2016-08-05,OONI,
http://makaila.over-blog.com,NEWS,News Media,2014-04-15,citizenlab,
http://minorityrights.org/minorities/southerners/,HUMR,Human Rights Issues,2016-08-05,OONI,
http://rdpl.over-blog.com,NEWS,News Media,2014-04-15,citizenlab,
http://tchadien.com/,NEWS,News Media,2016-08-05,OONI,
https://thewideninglens.wordpress.com/2015/08/20/whats-going-on-in-chad/,HUMR,Human Rights Issues,2016-08-05,OONI,
http://topics.nytimes.com/top/news/international/countriesandterritories/chad/index.html,NEWS,News Media,2016-08-05,OONI,
http://www.afrik.com/tchad/,NEWS,News Media,2016-08-05,OONI,
http://www.afrol.com/articles/29663,REL,Religion,2016-08-05,OONI,
http://www.allafrica.com/chad/,NEWS,News Media,2016-08-05,OONI,
http://www.alwihdainfo.com/,NEWS,News Media,2016-08-05,OONI,
https://www.amnesty.org/en/documents/AFR20/007/2013/en/,HUMR,Human Rights Issues,2016-08-05,OONI,
https://www.amnesty.org/en/latest/news/2013/10/chad-repressive-tactics-against-government-critics-must-come-end/,HUMR,Human Rights Issues,2016-08-05,OONI,
http://www.bbc.com/news/world-africa-13164686,NEWS,News Media,2016-08-05,OONI,
http://www.charinews.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.christianaid.org/Interactive_World/countryPages/Chad.aspx,REL,Religion,2016-08-05,OONI,
http://www.everyculture.com/Bo-Co/Chad.html,CULTR,Culture,2016-08-05,OONI,
https://www.facebook.com/UnicefChad/,HUMR,Human Rights Issues,2016-08-05,OONI,
https://www.fas.org/sgp/crs/row/RS22798.pdf,HUMR,Human Rights Issues,2016-08-05,OONI,
https://www.giz.de/fachexpertise/downloads/giz2011-en-fgm-tschad.pdf,HUMR,Human Rights Issues,2016-08-05,OONI,
http://www.gouvernementdutchad.org/,NEWS,News Media,2016-08-05,OONI,Government news
http://www.mission-chad.org/,REL,Religion,2016-08-05,OONI,
http://www.muslimconverts.com/converts/Sultan.htm,REL,Religion,2016-08-05,OONI,
http://www.nationsonline.org/oneworld/corruption.htm,POLR,Political Criticism,2016-08-05,OONI,
http://www.newstimeafrica.com/archives/category/central-africa-news/chad/,NEWS,News Media,2016-08-05,OONI,
http://www.nytimes.com/topic/destination/chad,NEWS,News Media,2016-08-05,OONI,
http://www.refugeelegalaidinformation.org/chad,HUMR,Human Rights Issues,2016-08-05,OONI,
https://www.state.gov/j/drl/rls/irf/2011/af/192695.htm,REL,Religion,2016-08-05,OONI,
http://www.tchadactuel.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.tchadenligne.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.tchadforum.com/,NEWS,News Media,2016-08-05,OONI,
http://www.tchadoscopie.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.tradingeconomics.com/chad/corruption-index,POLR,Political Criticism,2016-08-05,OONI,
https://www.transparency.org/research/cpi/overview,POLR,Political Criticism,2016-08-05,OONI,
https://www.transparency.org/whatwedo/answer/overview_of_corruption_and_anti_corruption_in_chad,POLR,Political Criticism,2016-08-05,OONI,
http://www.unicef.org/appeals/chad.html,HUMR,Human Rights Issues,2016-08-05,OONI,
http://www.unicef.org/infobycountry/chad.html,HUMR,Human Rights Issues,2016-08-05,OONI,
http://www.worldaudit.org/corruption.htm,POLR,Political Criticism,2016-08-05,OONI,
