url,category_code,category_description,date_added,source,notes
http://119.59.99.174/~net2519/,CULTR,Culture,2020-03-15,thainetizen,Formerly 2519.net
http://2bangkok.com/,POLR,Political Criticism,2016-09-20,unknown,"Thai political analysis, underreported news, and Bangkok public transportation"
http://alliance4democracy.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://bet365.com/,GMB,Gambling,2014-04-15,citizenlab,
http://change.org/peoplesconstitution,POLR,Political Criticism,2020-03-15,thainetizen,Petition for the People’s Constitution #PeoplesConstitutionTH
http://chaoprayanews.com/,NEWS,News Media,2016-09-20,unknown,Online newspaper
http://downmerng.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Bhumibol_Adulyadej,NEWS,News Media,2016-09-20,unknown,Was blocked in 2008
http://en.wikipedia.org/wiki/Crown_Prince_of_Thailand,NEWS,News Media,2016-09-20,unknown,Crown Prince of Thailand
http://en.wikipedia.org/wiki/King_of_Thailand,NEWS,News Media,2016-09-20,unknown,Was blocked in 2008
http://en.wikipedia.org/wiki/Monarchy_of_Thailand,NEWS,News Media,2016-09-20,unknown,Redirected from King_of_Thailand (was blocked in 2008)
http://en.wikipedia.org/wiki/Vajiralongkorn,NEWS,News Media,2016-09-20,unknown,Current Crown Prince of Thailand
http://english.aljazeera.net/,NEWS,News Media,2014-04-15,citizenlab,
http://enlawfoundation.org/,ENV,Environment,2016-09-20,unknown,Environmental litigation and advocacy
http://hirvikatu10.net/timeupthailand,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://hrw.org/,HUMR,Human Rights Issues,2019-02-17,thainetizen,Human Rights Watch
http://hrw.org/english/docs/2005/01/13/thaila9858.htm,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://ibcbet.com/,GMB,Gambling,2014-04-15,citizenlab,
http://ladbrokes.com/,GMB,Gambling,2014-04-15,citizenlab,
http://landdestroyer.blogspot.com/,POLR,Political Criticism,2016-11-17,citizenlab,
http://landdestroyer.blogspot.com/search/label/Thailand,POLR,Political Criticism,2016-11-17,citizenlab,
http://limso.net/,GMB,Gambling,2014-04-15,citizenlab,
http://mfasia.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Migrant Forum in Asia
http://midnightuniv.org/,POLR,Political Criticism,2016-09-20,unknown,"Midnight University, was blocked in 2006"
http://mirrorartgroup.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://news.bbc.co.uk/2/hi/asia-pacific/,NEWS,News Media,2014-04-15,citizenlab,
http://news.thaipbs.or.th/news,NEWS,News Media,2019-02-18,thainetizen,ThaiPBS news
http://pinnaclesports.com/,GMB,Gambling,2014-04-15,citizenlab,
http://prachatai.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://prachatai.com/,NEWS,News Media,2016-09-20,unknown,"Political, social development, and acvitism news"
http://prachatai.com/english/,NEWS,News Media,2016-09-20,unknown,"Prachatai - English version, political, social development, and acvitism news"
http://prachatai.org/,NEWS,News Media,2016-09-20,unknown,"Political, social development, and acvitism news"
http://prachatai.wordpress.com/,NEWS,News Media,2014-04-15,citizenlab,
http://prachatai3.info/,NEWS,News Media,2016-09-20,unknown,"Political, social development, and acvitism news (reserved url, after prachatai.com got blocked)"
http://redsiam.wordpress.com/,NEWS,News Media,2014-04-15,citizenlab,
http://robertamsterdam.com/thailand/,NEWS,News Media,2014-04-15,citizenlab,
http://sameskybooks.org/,NEWS,News Media,2014-04-15,citizenlab,
http://sathai.org/,ENV,Environment,2014-04-15,citizenlab,Sustainable Agriculture Foundation
http://th.wikipedia.org/,NEWS,News Media,2016-09-20,unknown,Thai Wikipedia (HTTP)
http://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9B%E0%B8%A3%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4%E0%B8%9E%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B8%B8%E0%B8%A5%E0%B8%A2%E0%B9%80%E0%B8%94%E0%B8%8A,NEWS,News Media,2016-09-20,unknown,"Thai Wikipeida: Bhumibol Adulyadej (King of Thailand until 2016), its English counterpart was blocked in 2008"
http://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%81%E0%B8%A9%E0%B8%B1%E0%B8%95%E0%B8%A3%E0%B8%B4%E0%B8%A2%E0%B9%8C%E0%B9%84%E0%B8%97%E0%B8%A2,NEWS,News Media,2016-09-20,unknown,"Thai Wikipedia: King of Thailand, its English counterpart was blocked in 2008"
http://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2549,NEWS,News Media,2016-09-20,unknown,2006 Coup in Thailand
http://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2557,NEWS,News Media,2016-09-20,unknown,2014 Coup in Thailand
http://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%A3%E0%B8%AA%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%A3%E0%B8%B2%E0%B8%8A_%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%8A%E0%B8%B4%E0%B8%A3%E0%B8%B2%E0%B8%A5%E0%B8%87%E0%B8%81%E0%B8%A3%E0%B8%93_%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1%E0%B8%A1%E0%B8%81%E0%B8%B8%E0%B8%8E%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%81%E0%B8%B8%E0%B8%A1%E0%B8%B2%E0%B8%A3,NEWS,News Media,2016-09-20,unknown,Current King of Thailand
http://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1%E0%B8%A1%E0%B8%81%E0%B8%B8%E0%B8%8E%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%81%E0%B8%B8%E0%B8%A1%E0%B8%B2%E0%B8%A3,NEWS,News Media,2016-09-20,unknown,Crown Prince of Thailand
http://thaicherry.com/,PORN,Pornography,2014-04-15,citizenlab,
http://thaienews.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://thaigirls.net/,PORN,Pornography,2014-04-15,citizenlab,
http://thaiopensource.org/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://thaiuknews.wordpress.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://try2hack.siamdev.net/,HACK,Hacking Tools,2014-04-15,citizenlab,
http://tsthai.com/,PORN,Pornography,2014-04-15,citizenlab,
http://upload.prachatalk.com/,MMED,Media sharing,2014-04-15,citizenlab,
http://us.oneworld.net/,NEWS,News Media,2014-04-15,citizenlab,
http://us.oneworld.net/article/country/970/,NEWS,News Media,2014-04-15,citizenlab,
http://wartani.com/dev/,NEWS,News Media,2017-01-19,unknown,"News website, focus on Deep South"
http://wartani.com/live/,NEWS,News Media,2019-02-18,thainetizen,Wartani live stream
http://weareallhuman.info/,NEWS,News Media,2014-04-15,citizenlab,
http://weareallhuman2.info/,NEWS,News Media,2014-04-15,citizenlab,"Blocked by Facebook (cannot be posted on the platform, as of 2020-03-15)"
http://womenforpeaceandjustice.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,International Women's Partnership for Peace and Justice
http://womenthai.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Foundation for Women (FFW)
http://www.14tula.com/,CULTR,Culture,2014-04-15,citizenlab,
http://www.activeodds.com/,GMB,Gambling,2014-04-15,citizenlab,
http://www.adb.org/,ECON,Economics,2014-04-15,citizenlab,
http://www.adeq.or.th/,ENV,Environment,2014-04-15,citizenlab,Association for the Development of Environmental Quality
http://www.afesip.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.aidsaccess.com/,PUBH,Public Health,2014-04-15,citizenlab,
http://www.akha.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.amazon.co.uk/exec/obidos/ASIN/0300106823/203-4157180-0680751#product-details,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.apsw-thailand.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.apwld.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.asia-daily.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.asiabynight.com/,DATE,Online Dating,2014-04-15,citizenlab,
http://www.asianews.it/,NEWS,News Media,2014-04-15,citizenlab,
http://www.asianpacificpost.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.asiantribune.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.asiaobserver.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.asiapacificnews.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.asiatour.com/,XED,Sex Education,2014-04-15,citizenlab,
http://www.avert.org/aidsthai.htm,PUBH,Public Health,2014-04-15,citizenlab,
http://www.bangkokrainbow.org/,LGBT,LGBT,2014-04-15,citizenlab,
http://www.bannok.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.bbc.com/news/world-asia-38126928,NEWS,News Media,2017-08-31,citizenlab,Banned profile of new Thai King
http://www.bbc.com/news/world/asia_pacific,NEWS,News Media,2014-04-15,citizenlab,
http://www.bbc.com/thai,NEWS,News Media,2016-12-08,sinarproject,BBC Thai language sub-site
http://www.bbc.com/thai/thailand-38173269,NEWS,News Media,2016-12-08,sinarproject,BBC King Maha Vajiralongkorn profile page in Thai
http://www.bbcthai.com/,NEWS,News Media,2017-07-19,BBC,
http://www.bhumjaithai.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.bitthailand.com/,FILE,File-sharing,2014-04-15,citizenlab,
http://www.bloggang.com/,GRP,Social Networking,2014-04-15,citizenlab,
http://www.cabinet.soc.go.th/,GOVT,Government,2016-09-20,unknown,The Secretariat of the Cabinet
http://www.catholic.or.th/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.cawinfo.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.cct.or.th/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.cfan.org/,REL,Religion,2014-04-15,citizenlab,
http://www.chaoprayanews.com/,NEWS,News Media,2016-09-20,unknown,Online newspaper
http://www.chartpattana.com/,POLR,Political Criticism,2018-11-24,thainetizen,"Chart Pattana Party, a political party"
http://www.chartthaipattana.or.th/,POLR,Political Criticism,2018-11-24,thainetizen,"Chart Thai Pattana Party, a political party"
http://www.christianthai.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.consumerthai.org/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.cpnparty.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.dateinasia.com/,DATE,Online Dating,2014-04-15,citizenlab,
http://www.dek-d.com/,GRP,Social Networking,2014-04-15,citizenlab,
http://www.dekdek.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.doctorsan.com/,XED,Sex Education,2014-04-15,citizenlab,
http://www.ecologyasia.com/,ENV,Environment,2014-04-15,citizenlab,
http://www.empowerfoundation.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.enlightened-jurists.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Nitirat - group of legal scholars for democracy
