url,category_code,category_description,date_added,source,notes
http://www.bbcportuguese.com/,NEWS,News Media,2017-07-19,BBC,
https://www.thediliweekly.com/,NEWS,News Media,2023-05-10,sinarproject,
https://en.tatoli.tl/,NEWS,News Media,2023-05-10,sinarproject,English version of https://tatoli.tl 
https://www.cne.tl/,GOVT,Government,2023-05-10,sinarproject,National Electoral Commission of Timor-Leste
https://smnewstl.com/,NEWS,News Media,2023-05-16,sinarproject,SMNNEWS
https://www.oekusipost.com/,NEWS,News Media,2023-05-16,sinarproject,Oecusse Post:
https://g-rtv.com/,NEWS,News Media,2023-05-16,sinarproject,Gardamor
https://forum-haksesuk.blogspot.com/,POLR,Political Criticism,2023-05-16,sinarproject,Forum Haksesuk
https://neonmetin.info/,NEWS,News Media,2023-05-16,sinarproject,Neon Metin
https://tempotimor.com/,HUMR,Human Rights Issues,2023-05-16,sinarproject,"Tempo Timor, an NGO who works on govt transparency e.g. mismanagement of funds"
https://www.dialetika.org/,HUMR,Human Rights Issues,2023-05-16,sinarproject,Dialetika:
http://jsmp.tl/,HUMR,Human Rights Issues,2023-05-16,sinarproject,Judicial System Monitoring Program:
https://fongtil.org.tl/,HUMR,Human Rights Issues,2023-05-16,sinarproject,FONGTIL
https://chegabaita.org/,HUMR,Human Rights Issues,2023-05-16,sinarproject,ACbit
https://conselhoimprensa.tl/,NEWS,News Media,2023-05-16,sinarproject,"Conselho Imprensa, press council"
https://matadalaninstitute.blogspot.com/,HUMR,Human Rights Issues,2023-05-16,sinarproject,MDI
https://kdadalak.org.tl/,HUMR,Human Rights Issues,2023-05-16,sinarproject,KSI
https://tatoli.tl/,NEWS,News Media,2023-05-16,sinarproject,Tatoli
https://rttlep.tl/,NEWS,News Media,2023-05-16,sinarproject,RTTL
https://gmntv.tl/,NEWS,News Media,2023-05-16,sinarproject,GMN TV
https://www.diligenteonline.com/,NEWS,News Media,2023-05-16,sinarproject,Diligente
https://www.tic.gov.tl/,GOVT,Government,2023-05-16,sinarproject,TIC Timor
https://edtl-ep.tl/,GOVT,Government,2023-05-16,sinarproject,EDTL
