url,category_code,category_description,date_added,source,notes
http://ags.demokratia.ru,POLR,Political reform,2014-04-15,citizenlab,
http://amnesty.org.ru,HUMR,Human rights,2014-04-15,citizenlab,
http://anonymizer.report.ru,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://artem.gayclub.ru,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://az.nireblog.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://azadsoz.azeriblog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://aznocorruption.org,POLR,Political reform,2014-04-15,citizenlab,
http://bahai-library.com,MINF,Minority faiths,2014-04-15,citizenlab,
http://bakublog.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://baxi.pp.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://beon.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blog.kp.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blog.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogs.gde.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogs.mail.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogs.yandex.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogseo.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bodro.info,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://buddhism.org.ru,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://buddhist.ru,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://buro-perevodov14.jino-net.ru,TRNS,Translation,2014-04-15,citizenlab,
http://centrasia.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://community.livejournal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://compromat.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://contracept.newlist.ru,XED,Sex education and family planning,2014-04-15,citizenlab,
http://dating.ru,DATE,Dating,2014-04-15,citizenlab,
