url,category_code,category_description,date_added,source,notes
http://angryarab.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.ahewar.org/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.danielpipes.org/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.verite-action.org/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.ansarweb.net/,REL,Religion,2014-04-15,citizenlab,
http://www.bahai-faith.org/,REL,Religion,2014-04-15,citizenlab,
http://www.light-of-life.com/,REL,Religion,2014-04-15,citizenlab,
http://www.yahosein.com/,REL,Religion,2014-04-15,citizenlab,
http://www.coptic.net/EncyclopediaCoptica/,REL,Religion,2014-04-15,citizenlab,
http://www.moncefmarzouki.com/,POLR,Political Criticism,2014-04-15,citizenlab,
https://answering-islam.org/,REL,Religion,2014-04-15,citizenlab,
https://bahai.com/,REL,Religion,2014-04-15,citizenlab,
http://www.casinoduliban.com.lb/,GMB,Gambling,2014-04-15,citizenlab,
https://euromedrights.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://arabic.cnn.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.alhayat.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.thequran.com/,REL,Religion,2014-04-15,citizenlab,
https://www.tarjem.com/,COMT,Communication Tools,2014-04-15,citizenlab,
https://www.business-humanrights.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://www.business-humanrights.org/en/regions-countries/middle-east-no-africa/tunisia,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://al-bab.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.albawaba.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.alquds.co.uk/,NEWS,News Media,2014-04-15,citizenlab,
https://www.anti-cair-net.org/,NEWS,News Media,2014-04-15,citizenlab,
https://www.azzaman.com/,NEWS,News Media,2014-04-15,citizenlab,
https://middle-east-online.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.radiosawa.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.nikahsearch.com/,DATE,Online Dating,2014-04-15,citizenlab,
https://www.facebook.com/OUAJIHBADREDDINE,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.facebook.com/TUNISIE-TOUJOURS-210055832354486/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.facebook.com/takrizo/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.ikhwanweb.com/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.arabicbible.com/,REL,Religion,2014-04-15,citizenlab,
https://irshadmanji.com/,REL,Religion,2014-04-15,citizenlab,
https://the-good-way.com/eng/,REL,Religion,2014-04-15,citizenlab,
https://www.thegrace.com/,REL,Religion,2014-04-15,citizenlab,
http://www.amplusnet.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.almisbar.com/,COMT,Communication Tools,2014-04-15,citizenlab,
http://www.bouhageb.com/,CULTR,Culture,2014-04-15,citizenlab,
http://www.anhri.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.anhri.net/tunisia/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://freemuslim.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.humum.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.bbc.com/arabic/,NEWS,News Media,2014-04-15,citizenlab,
http://nawaat.org/portail/,NEWS,News Media,2014-04-15,citizenlab,
http://arabic.peopledaily.com.cn/,NEWS,News Media,2014-04-15,citizenlab,
https://www.alalamtv.net/,NEWS,News Media,2014-04-15,citizenlab,
http://www.alhiwar.net/,NEWS,News Media,2014-04-15,citizenlab,
http://www.tunisiancommunity.org/,NEWS,News Media,2014-04-15,citizenlab,
http://www.evemodels.com/,DATE,Online Dating,2014-04-15,citizenlab,
http://liqaa.net/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.reveiltunisien.org/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.ugtt.org.tn/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.sharmota.com/,PORN,Pornography,2014-04-15,citizenlab,
https://fr.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://ar.wikisource.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://arz.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://fr.wikisource.org/,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://fr.m.wikisource.org/,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://ar.drinkedin.net/,ALDR,Alcohol & Drugs,2019-07-14,Netalitica,
https://beerafrica.com/2016/07/05/beer-in-tunisia/,ALDR,Alcohol & Drugs,2019-07-14,Netalitica,
https://bmmishops.com/verify/,ALDR,Alcohol & Drugs,2019-07-14,Netalitica,
https://www.africanandeastern.com/,ALDR,Alcohol & Drugs,2019-07-14,Netalitica,
https://www.drinkies.net/,ALDR,Alcohol & Drugs,2019-07-14,Netalitica,
https://www.leclos.net/,ALDR,Alcohol & Drugs,2019-07-14,Netalitica,
https://www.mashrobi.com/,ALDR,Alcohol & Drugs,2019-07-14,Netalitica,
http://www.arabprogs.com/,ANON,Anonymization and circumvention tools,2019-07-14,Netalitica,
http://www.proxyarab.com/,ANON,Anonymization and circumvention tools,2019-07-14,Netalitica,
