url,category_code,category_description,date_added,source,notes
http://100kwt.com/,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
http://10svodok.su/,NEWS,News Media,2017-12-12,OONI,Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf
http://1c.ru/,COMM,E-commerce,2018-02-23,igorv,Software company
https://1plus1.ua/,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
https://1prime.ru/,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
http://1tvcrimea.ru/,NEWS,News Media,2018-02-23,igorv,
http://24tv.ua/,NEWS,News Media,2014-04-15,citizenlab,
http://2ch.hk/,PORN,Pornography,2014-04-15,citizenlab,
http://3a-pycb.livejournal.com/,CULTR,Culture,2014-04-15,citizenlab,
http://6ott-mit-uns.livejournal.com/,CULTR,Culture,2014-04-15,citizenlab,
http://72.14.203.104/,SRCH,Search Engines,2014-04-15,citizenlab,
http://72.14.203.104/search?hl=zh-CN&q=cache:http://www.sh.xcmc.com.cn/,SRCH,Search Engines,2014-04-15,citizenlab,
http://a-burlaka.livejournal.com/,NEWS,News Media,2014-04-15,citizenlab,
http://a-osipoff.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,
http://a-sadov.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,
http://abclider.com/,PORN,Pornography,2014-04-15,citizenlab,
http://abcnews.go.com/,NEWS,News Media,2014-04-15,citizenlab,
http://adengo.ru/,NEWS,News Media,2014-04-15,citizenlab,
https://admin-gorlovka.ru/,NEWS,News Media,2018-03-15,ksenia,Eastern Ukrainian website from the new ministry of information blocklist proposal
http://advisor.wmtransfer.com/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
https://afisha.yandex.ru/moscow,CULTR,Culture,2017-12-16,oonitarian,sanction list
http://agroprom.msdnr.ru/,GOVT,Government,2018-05-28,ksenia,Order of the President of Ukraine 126
http://ags.demokratia.ru/,POLR,Political Criticism,2014-04-15,citizenlab,
http://alexabarboss.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://allcrimea.net/,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
http://alstrangers.livejournal.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://amnesty.org.ru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://amvrosievka.dn.ua/,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
http://anaitiss.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,
http://anekdot-blogger.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://anna-news.info/,NEWS,News Media,2017-12-12,OONI,Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf
http://another-kashin.livejournal.com/,GOVT,Government,2014-04-15,citizenlab,
http://ansardin.wordpress.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://antifashist.com/,NEWS,News Media,2017-12-12,OONI,Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf
http://antijob.mahost.org/,POLR,Political Criticism,2014-04-15,citizenlab,
http://antimaydan.info/,NEWS,News Media,2017-12-12,OONI,Included in blocklist: http://inau.ua/sites/default/files/file/1711/vhidnyy_no_243_vid_28.11.2017.pdf
http://arbitrage.webmoney.ru/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
http://arestant.msk.ru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://artv-news.ru/,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
https://auto.ru/,COMM,E-commerce,2017-12-16,oonitarian,sanctions list
http://awvestnik.narod.ru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://az.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
http://azart.net.ua/,GMB,Gambling,2014-04-15,citizenlab,
http://azartplay.com/,GMB,Gambling,2014-04-15,citizenlab,
http://azatlyk-vatan.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://bagnet.org/,NEWS,News Media,2014-04-15,citizenlab,
http://balashov.com.ua/,NEWS,News Media,2014-04-15,citizenlab,
http://banking.guarantee.ru/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
http://banking.wmeuro.eu/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
https://banks.webmoney.ru/,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
http://beon.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://betway.com/,GMB,Gambling,2014-04-15,citizenlab,
http://bh42.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://blacksea.tv/,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
http://blog.i.ua/,NEWS,News Media,2014-04-15,citizenlab,
http://blog.kp.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
