url,category_code,category_description,date_added,source,notes
http://www.agriyork.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.ukcia.org,ALDR,Alcohol & Drugs,19/10/17,,
http://ukcia.org,ALDR,Alcohol & Drugs,19/10/17,,
http://www.drug-box.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.illicitdrugs.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.uk420.com/boards/index.php?act=home,ALDR,Alcohol & Drugs,19/10/17,,
http://www.marijuana-anonymous.com,ALDR,Alcohol & Drugs,19/10/17,,
http://psypressuk.com,ALDR,Alcohol & Drugs,19/10/17,,
http://www.rehabcentre.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.streetdrugs.org,ALDR,Alcohol & Drugs,19/10/17,,
http://www.brad21.org,ALDR,Alcohol & Drugs,19/10/17,,
http://www.amphetamines.com,ALDR,Alcohol & Drugs,19/10/17,,
http://www.drug-screen.com,ALDR,Alcohol & Drugs,19/10/17,,
http://www.drugtesting.com,ALDR,Alcohol & Drugs,19/10/17,,
http://www.sexpillsforher.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.talkingdrugs.org,ALDR,Alcohol & Drugs,19/10/17,,
http://windypundit.com,ALDR,Alcohol & Drugs,19/10/17,,
http://www.adtuk.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.ladylike.org.uk,MISC,Alternative lifestyles,19/10/17,,
http://www.polyamorysociety.org,MISC,Alternative lifestyles,19/10/17,,
http://www.jamiaislamia.co.uk,MISC,Community,19/10/17,,
http://www.islam-watch.org/HistoryOfJihad/index.html,CULTR,Culture,19/10/17,,
http://usshouston.org,CULTR,Culture,19/10/17,,
http://www.metal-cleaning.co.uk,COMM,E-commerce,19/10/17,,
http://www.wolstenholme.co.uk,COMM,E-commerce,19/10/17,,
http://thepiratebay.org,FILE,File-sharing,19/10/17,,blocked by court order
http://fenopy.eu,FILE,File-sharing,19/10/17,,blocked by court order
http://dl4all.com,FILE,File-sharing,19/10/17,,blocked by court order
http://eztv.it,FILE,File-sharing,19/10/17,,blocked by court order
http://firstrow1.eu,FILE,File-sharing,19/10/17,,blocked by court order
http://1337x.org,FILE,File-sharing,19/10/17,,blocked by court order
http://abmp3.com,FILE,File-sharing,19/10/17,,blocked by court order
http://beemp3s.org,FILE,File-sharing,19/10/17,,blocked by court order
http://bitsnoop.com,FILE,File-sharing,19/10/17,,blocked by court order
http://emp3world.cc,FILE,File-sharing,19/10/17,,blocked by court order
http://extratorrent.cc,FILE,File-sharing,19/10/17,,blocked by court order
http://filestube.com,FILE,File-sharing,19/10/17,,blocked by court order
http://monova.org,FILE,File-sharing,19/10/17,,blocked by court order
http://mp3juices.com,FILE,File-sharing,19/10/17,,blocked by court order
http://mp3lemon.org,FILE,File-sharing,19/10/17,,blocked by court order
http://mp3raid.com,FILE,File-sharing,19/10/17,,blocked by court order
http://newalbumreleases.net,FILE,File-sharing,19/10/17,,blocked by court order
http://rapidlibrary.com,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentcrazy.com,FILE,File-sharing,19/10/17,,blocked by court order
http://torrenthound.com,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentz.eu,FILE,File-sharing,19/10/17,,blocked by court order
http://free-tv-video-online.me,FILE,File-sharing,19/10/17,,blocked by court order
http://primewire.ag,FILE,File-sharing,19/10/17,,blocked by court order
http://putlocker.is,FILE,File-sharing,19/10/17,,blocked by court order
http://vodly.to,FILE,File-sharing,19/10/17,,blocked by court order
http://watchfreemovies.ch,FILE,File-sharing,19/10/17,,blocked by court order
http://tubeplus.me,FILE,File-sharing,19/10/17,,blocked by court order
http://viooz.co,FILE,File-sharing,19/10/17,,blocked by court order
http://watch32.com,FILE,File-sharing,19/10/17,,blocked by court order
http://zmovie.co,FILE,File-sharing,19/10/17,,blocked by court order
http://1iwc.com,FILE,File-sharing,19/10/17,,blocked by court order
http://hotcartierwatch.com,COMM,E-commerce,19/10/17,,blocked by court order
http://replicawatchesiwc.com,COMM,E-commerce,19/10/17,,blocked by court order
http://ukmontblancoutlet.co.uk,COMM,E-commerce,19/10/17,,blocked by court order
http://bittorrent.am,FILE,File-sharing,19/10/17,,blocked by court order
http://bitsoup.me,FILE,File-sharing,19/10/17,,blocked by court order
http://cucirca.eu,FILE,File-sharing,19/10/17,,blocked by court order
http://demonoid.ph,FILE,File-sharing,19/10/17,,blocked by court order
http://heroturko.me,FILE,File-sharing,19/10/17,,blocked by court order
http://icefilms.info,FILE,File-sharing,19/10/17,,blocked by court order
http://isohunt.to,FILE,File-sharing,19/10/17,,blocked by court order
http://iwannawatch.to,FILE,File-sharing,19/10/17,,blocked by court order
http://iwatchonline.to,FILE,File-sharing,19/10/17,,blocked by court order
http://losmovies.tv,FILE,File-sharing,19/10/17,,blocked by court order
http://movie25.cm,FILE,File-sharing,19/10/17,,blocked by court order
http://rapidmoviez.com,FILE,File-sharing,19/10/17,,blocked by court order
http://rarbg.com,FILE,File-sharing,19/10/17,,blocked by court order
http://scenesource.me,FILE,File-sharing,19/10/17,,blocked by court order
http://seventorrents.re,FILE,File-sharing,19/10/17,,blocked by court order
http://tv-series.me,FILE,File-sharing,19/10/17,,blocked by court order
http://sumotorrent.sx,FILE,File-sharing,19/10/17,,blocked by court order
http://tormovies.org,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentday.com,FILE,File-sharing,19/10/17,,blocked by court order
http://torrent.cd,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentbutler.eu,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentbytes.net,FILE,File-sharing,19/10/17,,blocked by court order
http://torrenting.com,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentz.pro,FILE,File-sharing,19/10/17,,blocked by court order
http://tvchaosuk.com,FILE,File-sharing,19/10/17,,blocked by court order
http://vertor.eu,FILE,File-sharing,19/10/17,,blocked by court order
http://watchtvseries.to,FILE,File-sharing,19/10/17,,blocked by court order
http://watchseries.lt,FILE,File-sharing,19/10/17,,blocked by court order
http://watchseries.to,FILE,File-sharing,19/10/17,,blocked by court order
http://yourbittorrent.com,FILE,File-sharing,19/10/17,,blocked by court order
http://btdigg.org,FILE,File-sharing,19/10/17,,blocked by court order
http://btloft.com,FILE,File-sharing,19/10/17,,blocked by court order
http://limetorrents.com,FILE,File-sharing,19/10/17,,blocked by court order
http://picktorrent.com,FILE,File-sharing,19/10/17,,blocked by court order
http://seedpeer.me,FILE,File-sharing,19/10/17,,blocked by court order
http://torlock.com,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentbit.net,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentdb.li,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentdownload.ws,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentexpress.net,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentfunk.com,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentproject.se,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentroom.com,FILE,File-sharing,19/10/17,,blocked by court order
http://torrents.net,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentz.cd,FILE,File-sharing,19/10/17,,blocked by court order
http://torrentzap.com,FILE,File-sharing,19/10/17,,blocked by court order
http://vitorrent.org,FILE,File-sharing,19/10/17,,blocked by court order
http://mp3linow.com/,FILE,File-sharing,19/10/17,,blocked by court order
http://bursalagu.com,FILE,File-sharing,19/10/17,,blocked by court order
http://bursalagu.pro/,FILE,File-sharing,19/10/17,,blocked by court order
http://fullsongs.org/,FILE,File-sharing,19/10/17,,blocked by court order
http://www.megafiles.me/,FILE,File-sharing,19/10/17,,blocked by court order
http://www.freebingo.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.harrahscasino.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.virginbet.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.foxyquiz.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.lotterysyndicateagreement.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.betfredarcade.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.bingocards.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.be-win.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.fastodds.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.wildvegascasino.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.100casinos.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.bell-fruit-games.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.casinotoplists.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.allslots.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.skilllottery.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.realonlinecasinos.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.bigjackpots.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.riverbelle-bingo.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.gamevillage.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.witchbingo.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.casino-on-net-online.co.uk,GMB,Gambling,19/10/17,,EFF blocked.org.uk
http://www.hackthissite.org,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://www.hackajob.co.uk,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://www.hackervoice.co.uk,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://defcon.org,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://www.hackforums.com,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://www.hashkiller.co.uk,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://www.hackinglinuxexposed.com,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://blinkingterminal.com,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://www.cyberaudit.co.uk/,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://hackthis.co.uk,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://darknet.org.uk,HACK,HACK,19/10/17,,EFF blocked.org.uk
http://efp.org.uk,HATE,Hate Speech,19/10/17,,EFF blocked.org.uk
http://barenakedislam.com,HATE,Hate Speech,19/10/17,,EFF blocked.org.uk
http://www.nazichildren.org,HATE,Hate Speech,19/10/17,,EFF blocked.org.uk
http://www.nsm88.org,HATE,Hate Speech,19/10/17,,EFF blocked.org.uk
http://www.fpp.co.uk,HUMR,Human Rights Issues,19/10/17,,EFF blocked.org.uk
http://www.sistersofresistance.org,HUMR,Human Rights Issues,19/10/17,,EFF blocked.org.uk
http://clarionproject.org,HUMR,Human Rights Issues,19/10/17,,EFF blocked.org.uk
http://www.radfem.org,HUMR,Human Rights Issues,19/10/17,,EFF blocked.org.uk
http://www.blackwomenrhetproject.org,HUMR,Human Rights Issues,19/10/17,,EFF blocked.org.uk
http://www.outuk.com,LGBT,LGBT,19/10/17,,EFF blocked.org.uk
http://www.thewayoutclub.com,LGBT,LGBT,19/10/17,,EFF blocked.org.uk
http://www.mankinduk.co.uk,LGBT,LGBT,19/10/17,,EFF blocked.org.uk
http://www.planetsappho.com,LGBT,LGBT,19/10/17,,EFF blocked.org.uk
http://www.holytitclamps.com,LGBT,LGBT,19/10/17,,EFF blocked.org.uk
http://www.middleeast.org,NEWS,News Media,19/10/17,,EFF blocked.org.uk
http://awaztoday.tv,NEWS,News Media,19/10/17,,EFF blocked.org.uk
http://www.tantriclub.co.uk,DATE,Online Dating,19/10/17,,EFF blocked.org.uk
http://www.singleandchristian.co.uk,DATE,Online Dating,19/10/17,,EFF blocked.org.uk
http://www.laj.co.uk,DATE,Online Dating,19/10/17,,EFF blocked.org.uk
http://www.asiand8online.com,DATE,Online Dating,19/10/17,,EFF blocked.org.uk
http://www.faceparty.com,DATE,Online Dating,19/10/17,,EFF blocked.org.uk
http://www.gaydatingagency.com,DATE,Online Dating,19/10/17,,EFF blocked.org.uk
http://uk.guys4men.com,DATE,Online Dating,19/10/17,,EFF blocked.org.uk
http://www.polymatchmaker.com,DATE,Online Dating,19/10/17,,EFF blocked.org.uk
http://www.islamicweddings.co.uk,DATE,Online Dating,19/10/17,,EFF blocked.org.uk
http://www.socialist.net,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://onlibertyonline.blogspot.com,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://www.ourcivilisation.com/dumb/index.htm,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://www.generationalpha.org/,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://judgybitch.com/,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
https://mikejay.net,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://www.danielpipes.org,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://www.counterjihadcoalition.org,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://www.islamreview.com,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://www.infidelsofbritain.uk,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://m-kemal.blogspot.com,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://www.jeremiahproject.com/prophecy/nworder05.html,POLR,Political Criticism,19/10/17,,EFF blocked.org.uk
http://www.gayguide.co.uk,PORN,Pornography,19/10/17,,EFF blocked.org.uk
http://www.milism.net,PORN,Pornography,19/10/17,,EFF blocked.org.uk
http://www.gaygordon.co.uk,PORN,Pornography,19/10/17,,EFF blocked.org.uk
http://scifisex.net,PORN,Pornography,19/10/17,,EFF blocked.org.uk
http://livexxxsexchat.com,PORN,Pornography,19/10/17,,EFF blocked.org.uk
http://www.rubber-doll.org,PORN,Pornography,19/10/17,,EFF blocked.org.uk
http://www.Lostallhope.com,PUBH,Public Health,19/10/17,,EFF blocked.org.uk
http://www.suicidehelp.co.uk,PUBH,Public Health,19/10/17,,EFF blocked.org.uk
http://www.suicidegirls.com,PUBH,Public Health,19/10/17,,EFF blocked.org.uk
http://www.aseaoftrees.org,PUBH,Public Health,19/10/17,,EFF blocked.org.uk
http://www.leftbehindbysuicide.org,PUBH,Public Health,19/10/17,,EFF blocked.org.uk
http://www.massagainstassistedsuicide.org,PUBH,Public Health,19/10/17,,EFF blocked.org.uk
http://www.inthenameofallah.org,REL,Religion,19/10/17,,EFF blocked.org.uk
http://www.thereligionofpeace.com,REL,Religion,19/10/17,,EFF blocked.org.uk
http://www.armyofgod.com/POClist.html,REL,Religion,19/10/17,,EFF blocked.org.uk
http://www.silentscream.org,MISC,Abortion,19/10/17,,EFF blocked.org.uk
http://holdingouthelp.org/,MISC,Self Help,19/10/17,,EFF blocked.org.uk
http://jihadology.net,MILX,Terrorism and millitants,19/10/17,,EFF blocked.org.uk
http://www.my-jihad.org,MILX,Terrorism and millitants,19/10/17,,EFF blocked.org.uk
http://www.celebjihad.com,MILX,Terrorism and millitants,19/10/17,,EFF blocked.org.uk
http://www.crimespider.com/terrorism_references.htm,MILX,Terrorism and millitants,19/10/17,,EFF blocked.org.uk
http://www.fas.org/irp/world/para/ladin.htm,MILX,Terrorism and millitants,19/10/17,,EFF blocked.org.uk
http://www.hauntedisland.co.uk,MISC,Violence and Gore,19/10/17,,EFF blocked.org.uk
http://www.gun-control-network.org,MISC,Weapons,19/10/17,,EFF blocked.org.uk
