url,category_code,category_description,date_added,source,notes
https://radiopedal.uy,NEWS,News Media,2017-04-13,Derechos Digitales,Alternative media
https://montevideoantiguo.net/,CULTR,Culture,2017-04-13,Derechos Digitales,
https://wrm.org.uy/,ENV,Environment,2017-04-13,Derechos Digitales,
https://www.redes.org.uy/,ENV,Environment,2017-04-13,Derechos Digitales,
https://www.elpais.com.uy,NEWS,News Media,2017-04-13,Derechos Digitales,Mainstream media
http://sdh.gub.uy/,HUMR,Human Rights Issues,3027-04-13,Derechos Digitales,
http://www.lr21.com.uy/,NEWS,News Media,2017-04-13,Derechos Digitales,
http://www.republica.com.uy,NEWS,News Media,2017-04-13,Derechos Digitales,Mainstream media
http://www.mro.nuevaradio.org/,NEWS,News Media,2017-04-13,Derechos Digitales,Alternative media
http://elmuertoquehabla.blogspot.com,NEWS,News Media,2017-04-13,Derechos Digitales,Alternative media
http://noticiasuruguayas.blogspot.com,NEWS,News Media,2017-04-13,Derechos Digitales,Alternative media
http://federacionanarquistauruguaya.uy,POLR,Political Criticism,2017-04-13,Derechos Digitales,
http://www.porro.com.uy,ALDR,Alcohol & Drugs,2017-04-13,Derechos Digitales,
http://www.espectador.com/,NEWS,News Media,2017-04-13,Derechos Digitales,
https://eltelegrafo.com,NEWS,News Media,2017-04-13,Derechos Digitales,
https://elheraldo.com.uy,NEWS,News Media,2017-04-13,Derechos Digitales,
https://www.acj-ymca.org/,REL,Religion,2017-04-13,Derechos Digitales,
https://rojadirecta.me,MMED,Media sharing,2017-04-13,Derechos Digitales,On April 2018 court ordered ISPs to block it.
https://rojadirectatv.tv,MMED,Media sharing,2017-04-13,Derechos Digitales,On April 2018 court ordered ISPs to block it.
