url,category_code,category_description,date_added,source,notes
http://fast-die.kiev.ua/,PUBH,Public Health,2014-04-15,citizenlab,
http://www.shram.kiev.ua/,CULTR,Culture,2014-04-15,citizenlab,
http://fei.ru/,PORN,Pornography,2014-04-15,citizenlab,
https://psyplants.info/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
https://www.pictureview.com/,MMED,Media sharing,2014-04-15,citizenlab,
http://abclider.com/,PORN,Pornography,2014-04-15,citizenlab,File-sharing platform for porn
http://diplomaticsecondpassport.com/,COMM,E-commerce,2014-04-15,citizenlab,English site about getting dual citizenship
http://go-krit.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://seedjah.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://video-one.com/,PORN,Pornography,2014-04-15,citizenlab,
http://www.weedy.be/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
https://jahforum.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://www.bbc.com/kyrgyz/,NEWS,News Media,2017-07-19,BBC,
http://www.bbckyrgyz.com/,NEWS,News Media,2017-07-19,BBC,
http://birdamlik.info/,POLR,Political Criticism,2017-09-28,igorv,"blocked, outdated - keep monitoring"
http://fromuz.com/,POLR,Political Criticism,2017-09-28,igorv,"blocked, outdated - keep monitoring"
https://eltuz.com/,NEWS,News Media,2017-09-28,igorv,
http://ca-news.org/,NEWS,News Media,2017-09-28,igorv,
http://harakat.net/,NEWS,News Media,2017-09-28,igorv,independent news - blocked
http://uzxalqharakati.com/,POLR,Political Criticism,2017-09-28,igorv,oppositional political movement of UZ
http://www.asiaterra.info/,NEWS,News Media,2017-09-28,igorv,blocked
http://www.fergananews.com/,NEWS,News Media,2017-09-28,igorv,archive of the news site. New address is: https://fergana.agency/
http://www.uzmetronom.com/,NEWS,News Media,2017-09-28,igorv,
https://centre1.com/,NEWS,News Media,2017-09-28,igorv,
https://jahonnoma.com/,POLR,Political Criticism,2017-09-28,igorv,
https://rus.ozodlik.org/,NEWS,News Media,2017-09-28,igorv,RFE/RL service for UZ in Russian
https://turonzamin.org/,POLR,Political Criticism,2017-09-28,igorv,
https://www.golos-ameriki.ru/,NEWS,News Media,2017-09-28,igorv,
http://fikr.uz/,NEWS,News Media,2018-07-05,OONI,Reportedly blocked temporarily
https://kun.uz/,NEWS,News Media,2018-07-05,OONI,Reportedly blocked temporarily
https://uzreport.uz/,NEWS,News Media,2018-07-05,OONI,Reportedly blocked temporarily. Not accessible - keep monitoring
https://kk.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://ru.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://tr.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://uz.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://uz.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
http://www.cnews.ru/,NEWS,News Media,2018-07-11,OONI,Reportedly blocked
http://rus.ozodlik.org/,NEWS,News Media,2018-07-23,OONI,
https://www.bbc.com/uzbek/,NEWS,News Media,2018-07-23,OONI,
http://bride.ru/,DATE,Online Dating,2019-05-25,Netalitica,
http://buddhist.ru/,REL,Religion,2019-05-25,Netalitica,
http://cameleo.xyz/,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
http://compromat.ru/,NEWS,News Media,2019-05-25,Netalitica,
http://donbass.ua/,NEWS,News Media,2019-05-25,Netalitica,Ukrainian news media
http://eurasia.org.ru/,NEWS,News Media,2019-05-25,Netalitica,Central Asia regional news
http://flibusta.is/,MMED,Media sharing,2019-05-25,Netalitica,sharing books
http://gaia.ru/,LGBT,LGBT,2019-05-25,Netalitica,
http://gamsoft.ru/,GMB,Gambling,2019-05-25,Netalitica,
http://gay.kz/,LGBT,LGBT,2019-05-25,Netalitica,
http://gazeta.ru/,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet
http://islam.plus/ru/,REL,Religion,2019-05-25,Netalitica,
http://islam.ru/,REL,Religion,2019-05-25,Netalitica,
http://kinovolt.ru/,FILE,File-sharing,2019-05-25,Netalitica,
http://kinozal.tv/,FILE,File-sharing,2019-05-25,Netalitica,
http://lurkmore.to/,NEWS,News Media,2019-05-25,Netalitica,Russia version of Wikipedia
http://mega-intell.ru/,COMM,E-commerce,2019-05-25,Netalitica,
http://namba.kz/#!/,FILE,File-sharing,2019-05-25,Netalitica,
http://new-rutor.org/,FILE,File-sharing,2019-05-25,Netalitica,
http://noblockme.ru/,ANON,Anonymization and circumvention tools,2019-05-25,Netalitica,
http://radiomayak.ru/,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet
http://rutracker.org/forum/index.php/,FILE,File-sharing,2019-05-25,Netalitica,popular torrent sharing service
http://samlib.ru/,CULTR,Culture,2019-05-25,Netalitica,Samizdat journal
http://seedoff.zannn.top/,FILE,File-sharing,2019-05-25,Netalitica,
http://tushkan.club/,FILE,File-sharing,2019-05-25,Netalitica,
http://www.agentura.ru/,POLR,Political Criticism,2019-05-25,Netalitica,Critical Russia site
http://www.aif.ru/,NEWS,News Media,2019-05-25,Netalitica,Russian media outlet
http://www.annacasino.ru/,GMB,Gambling,2019-05-25,Netalitica,
http://www.blogdir.ru/,HOST,Hosting and Blogging Platforms,2019-05-25,Netalitica,
http://www.buddhism.ru/,REL,Religion,2019-05-25,Netalitica,
http://www.casinoking.com/,GMB,Gambling,2019-05-25,Netalitica,
