url,category_code,category_description,date_added,source,notes
http://11abril.com,CULTR,Culture,2014-04-15,citizenlab,
http://6topoder.com,NEWS,News Media,2016-06-22,veinteligente,
http://6topoderweb.com,NEWS,News Media,2016-06-22,veinteligente,
http://Ntn24web.com,NEWS,News Media,2016-06-22,veinteligente,to cloudfront (22/06/2016)
http://accesolibre.org.ve,NEWS,News Media,2016-06-22,veinteligente,
https://alasc.wordpress.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://albaciudad.org,NEWS,News Media,2016-06-22,veinteligente,
https://alekboyd.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,http version blocked in some ISPs
http://analisis24.com,NEWS,News Media,2016-06-22,veinteligente,
https://aporrea.org,POLR,Political Criticism,2016-06-22,veinteligente,
http://armando.info,NEWS,News Media,2016-06-22,veinteligente,
http://avn.info.ve,NEWS,News Media,2016-06-22,veinteligente,
https://bandera-roja.blogspot.com,POLR,Political Criticism,2016-06-22,veinteligente,
http://buscador.infoguia.net,SRCH,Search Engines,2014-04-15,citizenlab,
http://caiv.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://capitoliotv.com/,NEWS,News Media,2017-05-21,OONI,
http://capriles.tv,NEWS,News Media,2016-06-22,veinteligente,
https://caracasgringo.wordpress.com,NEWS,News Media,2014-04-15,citizenlab,
http://caracasktc.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://caracasqueer.blogspot.com,LGBT,LGBT,2014-04-15,citizenlab,
http://caraotadigital.net,NEWS,News Media,2016-06-22,veinteligente,
http://cecodap.org.ve,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://cedema.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://cedice.org.ve,POLR,Political Criticism,2014-04-15,citizenlab,
http://ciudadaniaactiva.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://cne.gob.ve,POLR,Political Criticism,2016-06-22,veinteligente,
http://cne.gov.ve,NEWS,News Media,2014-04-15,citizenlab,
http://cnnespanol.cnn.com/,NEWS,News Media,2017-04-11,OONI,
http://codigovenezuela.com,NEWS,News Media,2016-06-22,veinteligente,
http://complotmagazine.com,NEWS,News Media,2014-04-15,citizenlab,
http://confirmado.com.ve,NEWS,News Media,2016-06-22,veinteligente,
http://conive.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://constitutional-reform-venezuela.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://contrapunto.com,NEWS,News Media,2016-06-22,veinteligente,
http://controlobrero.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://correodelcaroni.com,NEWS,News Media,2016-06-22,veinteligente,
https://cronica.uno,NEWS,News Media,2016-06-22,veinteligente,
https://cuentosintrascendentes.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
https://daniel-venezuela.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
https://depravario.blogspot.com,LGBT,LGBT,2014-04-15,citizenlab,
https://devilsexcrement.com,NEWS,News Media,2014-04-15,citizenlab,
http://dialogo-americas.com,NEWS,News Media,2014-04-15,citizenlab,
http://diariodecaracas.com,NEWS,News Media,2016-06-22,veinteligente,
http://diegoarria.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://dolarparalelo.biz,NEWS,News Media,2016-06-22,veinteligente,
http://dolarparalelovenezuela.com,NEWS,News Media,2016-06-22,veinteligente,
https://dolartoday.com,NEWS,News Media,2016-06-22,veinteligente,
https://dolartoday.info,NEWS,News Media,2016-06-22,veinteligente,to cloudfront (22/06/2016)
https://dolartoday.org,NEWS,News Media,2016-06-22,veinteligente,to cloudfront (22/06/2016)
http://dollar.nu,NEWS,News Media,2014-04-15,citizenlab,
http://dollar.ru,NEWS,News Media,2016-06-22,veinteligente,
http://dollarparalelovenezuela.com,NEWS,News Media,2016-06-22,veinteligente,
http://efectococuyo.com,NEWS,News Media,2016-06-22,veinteligente,
http://el-carabobeno.com,NEWS,News Media,2016-06-22,veinteligente,
http://elcapitolio.tv/,NEWS,News Media,2017-04-11,OONI,
http://eldolarparalelo.info,NEWS,News Media,2016-06-22,veinteligente,
http://elestimulo.com,NEWS,News Media,2016-06-22,veinteligente,
http://elpais.com,NEWS,News Media,2016-06-22,veinteligente,
https://elperiodicovenezolano.com,NEWS,News Media,2016-06-22,veinteligente,
http://elperiodiquito.com,NEWS,News Media,2016-06-22,veinteligente,
http://elsiglo.com.ve,NEWS,News Media,2016-06-22,veinteligente,
http://eltiempo.com.ve,NEWS,News Media,2016-06-22,veinteligente,
http://es.catholic.net,REL,Religion,2014-04-15,citizenlab,
http://esdata.info,POLR,Political Criticism,2014-04-15,citizenlab,
https://etnoecomerida.wordpress.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://exdiablo.com,NEWS,News Media,2014-04-15,citizenlab,
http://fncancer.org.ve,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://foropenal.com/,HUMR,Human Rights Issues,2016-06-22,veinteligente,
http://frentepatriotico.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://fuerzasolidaria.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://futuropresente.com.ve,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://globovision.com,NEWS,News Media,2014-04-15,citizenlab,supports https but as cloudflare error
http://granpolopatriotico.org.ve,POLR,Political Criticism,2016-06-22,veinteligente,
http://guachimanelectoral.com,HUMR,Human Rights Issues,2016-06-22,veinteligente,
http://gumilla.org,NEWS,News Media,2014-04-15,citizenlab,
https://info-veraz.blogspot.com,NEWS,News Media,2016-06-22,veinteligente,
https://informe21.com,NEWS,News Media,2016-06-22,veinteligente,
http://ipysvenezuela.org,NEWS,News Media,2014-04-15,citizenlab,
http://laiguana.tv,NEWS,News Media,2016-06-22,veinteligente,
http://lanacionweb.com,NEWS,News Media,2016-06-22,veinteligente,
http://lasarmasdecoronel.blogspot.co.uk,POLR,Political Criticism,2014-04-15,citizenlab,
http://lechugaverde.biz,NEWS,News Media,2016-06-22,veinteligente,
http://liberal-venezolano.blogspot.com,NEWS,News Media,2016-06-22,veinteligente,
http://luchadeclases.org.ve,POLR,Political Criticism,2014-04-15,citizenlab,
http://manosfueradevenezuela.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://minuto30.com,NEWS,News Media,2016-06-22,veinteligente,
https://movimientoecologicodevenezuela.blogspot.com,ENV,Environment,2014-04-15,citizenlab,
https://muerachavez.blogspot.com,POLR,Political Criticism,2016-06-22,veinteligente,
http://nmidigital.com,NEWS,News Media,2014-04-15,citizenlab,
http://noticiaaldia.com,NEWS,News Media,2016-06-22,veinteligente,
http://noticias24.com,NEWS,News Media,2016-06-22,veinteligente,
http://notitarde.com,NEWS,News Media,2016-06-22,veinteligente,
http://notizulia.net,NEWS,News Media,2016-06-22,veinteligente,
http://ntn24.com,NEWS,News Media,2016-06-22,veinteligente,to cloudfront (22/06/2016)
http://nuevaprensa.com.ve,NEWS,News Media,2014-04-15,citizenlab,
http://nuvipa.org,POLR,Political Criticism,2016-06-22,veinteligente,
http://opinionynoticias.com,NEWS,News Media,2016-06-22,veinteligente,
http://orvex.org,GOVT,Government,2014-04-15,citizenlab,
http://oveprisiones.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://partidounnuevotiempo.org,POLR,Political Criticism,2016-06-22,veinteligente,
http://pasca.org,PUBH,Public Health,2014-04-15,citizenlab,
http://periodismodepaz.org,NEWS,News Media,2014-04-15,citizenlab,
http://plafam.org.ve,XED,Sex Education,2014-04-15,citizenlab,
https://pmbcomments.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
https://prensadesolidaridad.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
https://prensapcv.wordpress.com,POLR,Political Criticism,2016-06-22,veinteligente,
http://prodavinci.com,NEWS,News Media,2016-06-22,veinteligente,
http://prosalud.org.ve,XED,Sex Education,2014-04-15,citizenlab,
http://psuv.org.ve,POLR,Political Criticism,2016-06-22,veinteligente,
https://queacido.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://rebelion.org,NEWS,News Media,2014-04-15,citizenlab,
http://redindigena.info,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://reporteconfidencial.info,NEWS,News Media,2016-06-22,veinteligente,
http://runrun.es,POLR,Political Criticism,2014-04-15,citizenlab,supports https but as cloudflare error
http://sinmordaza.org,NEWS,News Media,2014-04-15,citizenlab,
https://socialdemencia.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
https://sociedadcivilvenezuela.blogspot.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://sumarium.com/,NEWS,News Media,2017-06-30,OONI,
http://sumate.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://sunoticiero.com,NEWS,News Media,2016-06-22,veinteligente,
https://todosenred.wordpress.com,NEWS,News Media,2014-04-15,citizenlab,
http://todosida.org,PUBH,Public Health,2014-04-15,citizenlab,
http://tupamaro.org.ve,POLR,Political Criticism,2016-06-22,veinteligente,
http://twitter-venezuela.com,NEWS,News Media,2014-04-15,citizenlab,
http://unidadvenezuela.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://unionradio.net,NEWS,News Media,2016-06-22,veinteligente,
http://urru.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://vcrisis.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://vdebate.blogspot.com,NEWS,News Media,2016-06-22,veinteligente,
http://veedoresciudadanos.org.ve,HUMR,Human Rights Issues,2016-06-22,veinteligente,
http://veinteligente.org,NEWS,News Media,2016-06-22,veinteligente,
https://vendata.org/,HUMR,Human Rights Issues,2017-05-03,OONI,
http://vesinfiltro.com,ANON,Anonymization and circumvention tools,2016-06-22,veinteligente,
https://vivoplay.net,NEWS,News Media,2016-06-22,veinteligente,
http://voluntadpopular.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://webarticulista.net.free.fr,NEWS,News Media,2014-04-15,citizenlab,
http://ww1.rietedelgobierno.net,POLR,Political Criticism,2016-06-22,veinteligente,
http://www.2001.com.ve,NEWS,News Media,2016-06-22,veinteligente,
http://www.20minutos.es,NEWS,News Media,2016-06-22,veinteligente,
http://www.abc.es,NEWS,News Media,2016-06-22,veinteligente,
http://www.accionsolidaria.info,PUBH,Public Health,2016-06-22,veinteligente,
http://www.accsi.org.ve,PUBH,Public Health,2014-04-15,citizenlab,
http://www.acsol.org,PUBH,Public Health,2014-04-15,citizenlab,
http://www.actualidad-24.com,NEWS,News Media,2016-06-22,veinteligente,
https://www.afp.com,NEWS,News Media,2016-06-22,veinteligente,
http://www.aguacateverde.com,NEWS,News Media,2016-06-22,veinteligente,
http://www.analitica.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.asambleanacional.gob.ve,POLR,Political Criticism,2016-06-22,veinteligente,
http://www.cadivi.gob.ve,POLR,Political Criticism,2016-06-22,veinteligente,
http://www.canalrcn.com,NEWS,News Media,2016-06-22,veinteligente,
http://www.caracaschronicles.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.cencoex.gob.ve,POLR,Political Criticism,2016-06-22,veinteligente,
http://www.clarin.com,NEWS,News Media,2016-06-22,veinteligente,
http://www.controlciudadano.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.correodelorinoco.gob.ve,NEWS,News Media,2016-06-22,veinteligente,
http://www.derechos.org.ve,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.descifrado.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.diariolavoz.net,NEWS,News Media,2016-06-22,veinteligente,
http://www.el-nacional.com,NEWS,News Media,2016-06-22,veinteligente,
