url,category_code,category_description,date_added,source,notes
http://www.newsyemen.net,NEWS,News Media,2016-04-18,citizenlab,News Yemen
http://www.newyemen.net,NEWS,News Media,2016-04-18,citizenlab,New Yemen
http://www.ye1.org,NEWS,News Media,2016-04-18,citizenlab,Yemeni Council
http://www.shababyemeni.com,HUMR,Human Rights Issues,2016-04-18,citizenlab,Yemen youth NGO
http://www.soutalgnoub.com,MILX,Terrorism and Militants,2016-04-18,citizenlab,Separatist group
http://www.soutalgnoub.com/vb2/,MILX,Terrorism and Militants,2016-04-18,citizenlab,Separatist group
http://denypagetests.netsweeper.com,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/1,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/10,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/11,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/12,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/13,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/14,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/15,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/16,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/160,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/166,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/17,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/170,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/18,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/19,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/2,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/20,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/21,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/22,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/23,MISC,Miscelaneous content,2016-04-18,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/230,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
http://denypagetests.netsweeper.com/category/catno/24,MISC,Miscelaneous content,2017-10-19,citizenlab,Tool to detect use of Netsweeper filtering product
