url,category_code,category_description,date_added,source,notes
http://www.r2k.org.za/,POLR,Political Criticism,2018-01-26,Kgopotso,
http://www.amandla.mobi/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,
http://abahlali.org/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,
http://section27.org.za/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,
https://broadbandmatters.co.za/,NEWS,News Media,2018-01-26,Kgopotso,
http://www.economicfreedomfighters.org/,POLR,Political Criticism,2018-01-26,Kgopotso,
https://mg.co.za/,NEWS,News Media,2018-01-26,Kgopotso,
http://irr.org.za/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,
http://www.sweat.org.za/,HUMR,Human Rights Issues,2018-01-26,Kgopotso,
http://www.ngopulse.org/,POLR,Political Criticism,2018-01-26,Kgopotso,
