url,category_code,category_description,date_added,source,notes
https://76crimes.com/2013/05/15/zambia-trial-delayed-for-activist-paul-kasonkomona/,HUMR,Human Rights Issues,2016-06-10,OONI,
https://76crimes.com/2014/06/25/zambia-to-west-dont-watch-when-we-jail-lgbt-people/,LGBT,LGBT,2016-06-10,OONI,
https://76crimes.com/2015/05/15/zambian-opponent-of-anti-gay-laws-wins-at-high-court/,LGBT,LGBT,2016-06-10,OONI,
https://76crimes.com/tag/paul-kasonkomona/,LGBT,LGBT,2016-06-10,OONI,
http://africanarguments.org/2015/12/15/can-zambias-opposition-unseat-president-lungu-in-the-2016-elections/,POLR,Political Criticism,2016-06-10,OONI,
http://africanarguments.org/2016/06/01/zambias-2016-elections-is-a-disputed-outcome-now-inevitable/,POLR,Political Criticism,2016-06-10,OONI,
http://afrosocialiting.wordpress.com/,CULTR,Culture,2016-06-10,OONI,
http://allafrica.com/stories/201411150012.html,POLR,Political Criticism,2016-06-10,OONI,
http://allafrica.com/stories/201512110956.html,POLR,Political Criticism,2016-06-10,OONI,
http://allafrica.com/stories/201512161266.html,NEWS,News Media,2016-06-09,OONI,
http://antivoterapathyproject.org/,POLR,Political Criticism,2016-06-10,OONI,
http://arushapot.blogspot.com/,POLR,Political Criticism,2016-06-10,OONI,
http://barotselandpost.com/,MILX,Terrorism and Militants,2016-04-19,citizenlab,
http://documents.worldbank.org/curated/en/2012/12/18286675/zambia-poverty-assessment-stagnant-poverty-inequality-natural-resource-based-economy,ECON,Economics,2016-06-10,OONI,
https://fodep.blogspot.gr/,POLR,Political Criticism,2016-06-10,OONI,
http://gvnet.com/torture/Zambia.htm,HUMR,Human Rights Issues,2016-06-09,OONI,
http://hh-zambia.com/,POLR,Political Criticism,2016-06-09,OONI,
https://kachemakontolola.wordpress.com/2016/05/29/lungu-corrupted-by-power/,POLR,Political Criticism,2016-06-10,OONI,
http://list25.com/25-countries-with-the-lowest-life-expectancy-in-the-world/,HUMR,Human Rights Issues,2016-06-10,OONI,
http://lusakavoice.com/2013/09/18/upnd-summary-manifesto/,POLR,Political Criticism,2016-06-09,OONI,
http://lusakavoice.com/2016/01/19/the-evil-spirits-of-corruption-in-zambia/,POLR,Political Criticism,2016-06-10,OONI,
http://minorityrights.org/country/zambia/,HUMR,Human Rights Issues,2016-06-09,OONI,
http://misa.org/,HUMR,Human Rights Issues,2016-06-10,OONI,
https://oyvzambia.blogspot.gr/,POLR,Political Criticism,2016-06-10,OONI,
